WikidataID;labelWikidata;PredictedClass
Q76;Barack Obama;PERSON
Q207;George W. Bush;PERSON
Q240126;bullying;LOCATION
Q179742;prejudice;LOCATION
Q22686;Donald Trump;PERSON
Q1414593;Patient Protection and Affordable Care Act;LOCATION
Q47740;Muslim;LOCATION
Q21707860;Paris Agreement;LOCATION
Q25395;Newark;LOCATION
Q2521385;Richmond Football Club;LOCATION
Q1370;Virginia;LOCATION
Q23505;George H. W. Bush;PERSON
Q159535;conspiracy theory;LOCATION
Q7174;democracy;LOCATION
Q6235;nationalism;LOCATION
Q1969722;nativism;LOCATION
Q12948581;copyright;LOCATION
Q29468;Republican Party;ORGANISATION
Q43437;procuring;LOCATION
Q1016;Libya;LOCATION
Q1019;Madagascar;LOCATION
Q1026;Poles;PERSON_TYPE
Q1055;Hamburg;LOCATION
Q1085;Prague;LOCATION
Q10910368;Göring;PERSON
Q11322507;German Army;LOCATION
Q1142538;7000;MEASURE
Q115367;Max Frankel;PERSON
Q11710682;Khatyn;LOCATION
Q117144;Miklós Horthy;PERSON
Q1179894;Ben Gurion;PERSON
Q1216672;Eichmann;PERSON
Q1218;Jerusalem;LOCATION
Q1264562;Jacob Lestschinsky;PERSON
Q127885;Serbs;PERSON_TYPE
Q1289780;Jew;PERSON
Q13048507;Bavarians;PERSON_TYPE
Q13363209;Free French Forces;LOCATION
Q1354183;National Socialists – 21st Century Left;ORGANISATION
Q142;France;LOCATION
Q1432947;Vrba;PERSON
Q1509992;Gerald Reitlinger;PERSON
Q151179;Ustaše;ORGANISATION
Q15440730;Helen Fein;PERSON
Q15449544;Otto Dov Kulka;PERSON
Q154498;Sachsenhausen concentration camp;LOCATION
Q154607;Warsaw Ghetto;LOCATION
Q154835;Mogilyov;LOCATION
Q155032;Jasenovac concentration camp;LOCATION
Q155136;Otto Klemperer;PERSON
Q156910;Bruno Walter;PERSON
Q1578876;Hans Buchheim;PERSON
Q15794309;Christof Dipper;PERSON
Q158062;Max Liebermann;PERSON
Q15863;Slovenes;PERSON_TYPE
Q159;Russia;LOCATION
Q160139;Mauthausen-Gusen concentration camp;LOCATION
Q160175;Theresienstadt concentration camp;LOCATION
Q1618136;Hilberg;PERSON
Q161838;Speer;PERSON
Q1618759;Hillgruber;PERSON
Q1621139;Hitler;PERSON
Q165642;The Eternal Jew;LOCATION
Q16587936;Pilecki;PERSON
Q16770170;Czechoslovak;PERSON
Q17;Japan;LOCATION
Q170217;Czechs;PERSON_TYPE
Q1717182;Jürgen Förster;PERSON
Q17214011;Black;PERSON
Q172183;Chaim Weizmann;PERSON
Q17290165;Heydrich;PERSON
Q1731;Dresden;LOCATION
Q1733480;Karl Wolff;PERSON
Q1741;Vienna;LOCATION
Q1780;Bratislava;LOCATION
Q1781;Budapest;LOCATION
Q179248;Albanians;PERSON_TYPE
Q18169991;Natalia Zarembina;PERSON
Q18286522;Buchheim;LOCATION
Q183;Germany;LOCATION
Q18391;Elie Wiesel;PERSON
Q184;Belarus;LOCATION
Q188;German;LOCATION
Q1899;Kiev;LOCATION
Q191;Estonia;LOCATION
Q19108;9;MEASURE
Q1923573;SS Cavalry Brigade;ORGANISATION
Q1926953;Michael Berenbaum;PERSON
Q1934738;Milgram;PERSON
Q196194;Romani;PERSON
Q200;2;MEASURE
Q201;3;MEASURE
Q202;4;MEASURE
Q203;5;MEASURE
Q20433591;Bosnian Muslims;PERSON
Q2077328;Peter Novick;PERSON
Q2090;Nuremberg;LOCATION
Q21;England;LOCATION
Q21099502;Laurel Leff;PERSON
