WikidataID,LabelWikidata,Class
Q100,Boston,LOCATION
Q1000,Gabon,LOCATION
Q1001,Mahatma Gandhi,PERSON
Q1002,Chukchi Peninsula,LOCATION
Q1005,The Gambia,LOCATION
Q1006,Guinea,LOCATION
Q1007,Guinea-Bissau,LOCATION
Q100749,Clemens Fuest,PERSON
Q1008,Ivory Coast,LOCATION
Q1009,Cameroon,LOCATION
Q1010,Maribor,LOCATION
Q1011,Cape Verde,LOCATION
Q1012,Celje,LOCATION
Q1013,Lesotho,LOCATION
Q1014,Liberia,LOCATION
Q1015,Koper,LOCATION
Q1016,Libya,LOCATION
Q1017,Aachen,LOCATION
Q1018,Nova Gorica,LOCATION
Q1019,Madagascar,LOCATION
Q1020,Malawi,LOCATION
Q1021,Kranj,LOCATION
Q1022,Stuttgart,LOCATION
Q1023,,PERSON
Q1024,Triglav,LOCATION
Q1025,Mauritania,LOCATION
Q1026,Poles,PERSON_TYPE
Q1027,Mauritius,LOCATION
Q1028,Morocco,LOCATION
Q1029,Mozambique,LOCATION
Q103,Supercalifragilisticexpialidocious,CREATION
Q1030,Namibia,LOCATION
Q1032,Niger,LOCATION
Q1033,Nigeria,LOCATION
Q1034,Biel/Bienne,LOCATION
Q1035,Charles Darwin,PERSON
Q1036,Uganda,LOCATION
Q1037,Rwanda,LOCATION
Q1038,Zirconium,SUBSTANCE
Q1040,Karlsruhe,LOCATION
Q1042,Seychelles,LOCATION
Q1043,Carl Linnaeus,PERSON
Q1044,Sierra Leone,LOCATION
Q1045,Somalia,LOCATION
Q1046,Niobium,SUBSTANCE
Q1047,Jawaharlal Nehru,PERSON
Q1048,Julius Caesar,PERSON
Q1049,Sudan,LOCATION
Q105,Monday,PERIOD
Q1050,Swaziland,LOCATION
Q1051,Ivan Regen,PERSON
Q1053,Molybdenum,SUBSTANCE
Q105338,Geert Wilders,PERSON
Q1054,Technetium,SUBSTANCE
Q1055,Hamburg,LOCATION
Q1056,Italo Balbo,PERSON
Q1058,Narendra Modi,PERSON
Q1060,Hamburg University of Technology,LOCATION
Q1061,Gujarat,LOCATION
Q1062,Lake Ontario,LOCATION
Q1064,Alessandro Manzoni,PERSON
Q1066,Lake Superior,LOCATION
Q1067,Dante Alighieri,PERSON
Q1068,Wilhelmsburg_ Hamburg,LOCATION
Q1070,Ahmedabad,LOCATION
Q1077,Star Trek: The Original Series,CREATION
Q1079,Breaking Bad,CREATION
Q108,January,PERIOD
Q1081,Julio Bashmore,PERSON
Q1083,Salerno,LOCATION
Q1085,Prague,LOCATION
Q1086,Ruthenium,SUBSTANCE
Q1087,Rhodium,SUBSTANCE
Q1089,Palladium,SUBSTANCE
Q109,February,PERIOD
Q1090,Silver,SUBSTANCE
Q1091,Cadmium,SUBSTANCE
Q1093,Limburg (Netherlands),LOCATION
Q1094,Indium,SUBSTANCE
Q1095,Limburg (Belgium),LOCATION
Q1096,Tin,SUBSTANCE
Q1097,Berlin Hauptbahnhof,ARTIFACT
Q1098,Uranium,SUBSTANCE
Q1099,Antimony,SUBSTANCE
Q110,March,PERIOD
Q1100,Tellurium,SUBSTANCE
Q1101,North Brabant,LOCATION
Q1102,Plutonium,SUBSTANCE
Q1103,Iodine,SUBSTANCE
Q1104,Hemer,LOCATION
Q1105,Neptunium,SUBSTANCE
Q1106,Xenon,SUBSTANCE
Q1108,Caesium,SUBSTANCE
Q1109,Protactinium,SUBSTANCE
Q111,Mars,LOCATION
Q1112,Barium,SUBSTANCE
Q1113,West Flanders,LOCATION
Q1114,East Flanders,LOCATION
Q11146,Maastricht Treaty,LEGAL
Q1115,Thorium,SUBSTANCE
Q1116,Antwerp (province),LOCATION
Q1118,Flemish Brabant,LOCATION
Q111840,Carwyn Jones,PERSON
Q1119,Hafnium,SUBSTANCE
Q112,Mars (mythology),PERSON
Q1121,Actinium,SUBSTANCE
Q1122,Walloon Brabant,LOCATION
Q1123,Tantalum,SUBSTANCE
Q1124,Bill Clinton,PERSON
Q1125,Namur (province),LOCATION
Q1126,Luxembourg (Belgium),LOCATION
Q1128,Radium,SUBSTANCE
Q1129,Hainaut (province),LOCATION
Q1130,Iserlohn,LOCATION
Q1132,Ahlen,LOCATION
Q1133,Radon,SUBSTANCE
Q1137,Lorraine,LOCATION
Q1138,Barmbek-Nord,LOCATION
Q1139,Ununennium,SUBSTANCE
Q114,Kenya,LOCATION
Q1141,Dulsberg,LOCATION
Q1142,Alsace,LOCATION
Q1143,,LOCATION
Q1145,Jean-Philippe Rameau,PERSON
Q1146,Unbinilium,SUBSTANCE
Q1147,,LOCATION
Q1148,Winterhude,LOCATION
Q1149,Indira Gandhi,PERSON
Q115,Ethiopia,LOCATION
Q1151,Hector Berlioz,PERSON
Q1152,Auvergne,LOCATION
Q1153,Eppendorf_ Hamburg,LOCATION
Q115367,Max Frankel,PERSON
Q1154,Jamnagar,LOCATION
Q1155,Busto Arsizio,LOCATION
Q1156,Mumbai,LOCATION
Q1157,,LOCATION
Q1159,Andhra Pradesh,LOCATION
Q1162,Arunachal Pradesh,LOCATION
Q1164,Assam,LOCATION
Q1165,Bihar,LOCATION
Q1166,Michigan,LOCATION
Q1167,Alsterdorf,LOCATION
Q1168,Chhattisgarh,LOCATION
Q1169,Lake Michigan,LOCATION
Q117,Ghana,LOCATION
Q1171,Goa,LOCATION
Q11710682,,LOCATION
Q1173,Burgundy,LOCATION
Q1174,Haryana,LOCATION
Q1175,Langenhorn_ Hamburg,LOCATION
Q1177,Himachal Pradesh,LOCATION
Q1178,Maurice Ravel,PERSON
Q1179,Aquitaine,LOCATION
Q118,April,PERIOD
Q1180,Jammu and Kashmir,LOCATION
Q1181,Hoheluft,LOCATION
Q1183,Puerto Rico,LOCATION
Q1184,Jharkhand,LOCATION
Q1185,Karnataka,LOCATION
Q1186,Kerala,LOCATION
Q1187,River Wandle,LOCATION
Q1188,Madhya Pradesh,LOCATION
Q1189,Usain Bolt,PERSON
Q119,May,PERIOD
Q1190,Limousin,LOCATION
Q1191,Maharashtra,LOCATION
Q1192,Jean-Baptiste Lully,PERSON
Q1193,Manipur,LOCATION
Q1194,Schleswig-Holstein,LOCATION
Q1195,Meghalaya,LOCATION
Q1196,Mecklenburg-Vorpommern,LOCATION
Q1197,Lower Saxony,LOCATION
Q1198,North Rhine-Westphalia,LOCATION
Q1199,Hesse,LOCATION
Q120,June,PERIOD
Q1200,Rhineland-Palatinate,LOCATION
Q1201,Saarland,LOCATION
Q1202,Saxony,LOCATION
Q1203,John Lennon,PERSON
Q1204,Illinois,LOCATION
Q1205,Thuringia,LOCATION
Q1206,Saxony-Anhalt,LOCATION
Q1207,North Dakota,LOCATION
Q1208,Brandenburg,LOCATION
Q1209,Bremen (state),LOCATION
Q121,July,PERIOD
Q1210,Lombardy,LOCATION
Q1211,South Dakota,LOCATION
Q1212,Montana,LOCATION
Q1214,Wyoming,LOCATION
Q1216,Piedmont,LOCATION
Q1217,Hubert Salentin,PERSON
Q1218,Jerusalem,LOCATION
Q1219,Alster,LOCATION
Q122,August,PERIOD
Q1220,Giorgio Napolitano,PERSON
Q1221,Idaho,LOCATION
Q122141,Vodafone,BUSINESS
Q1222,Aosta Valley,LOCATION
