Mention,Class
Nazis,PERSON_TYPE
chiefs,TITLE
Jewish,PERSON_TYPE
Jewish,PERSON_TYPE
staff; chiefs; mayors and their assistants,TITLE
1919-1924,PERIOD
Russia,LOCATION
Suvalkų area and Pakruojis local rural district,LOCATION
auxiliary police,INSTITUTION
Anti-Jewish legislation,LEGAL
prewar Nazi Germany,LOCATION
Nazi Germany,LOCATION
Nuremberg Laws; and Haavara Agreement,LEGAL
Third Reich,INSTITUTION
Nazi,PERSON_TYPE
Volksgemeinschaft,CONCEPT
Nazi,PERSON_TYPE
two,MEASURE
Volksgenossen (national comrades),PERSON_TYPE
Volksgemeinschaft,CONCEPT
Gemeinschaftsfremde,PERSON_TYPE
Nazi,PERSON_TYPE
three,MEASURE
Jews and the Romani,PERSON_TYPE
Marxists; liberals; Christians and the reactionaries,PERSON_TYPE
National Comrades,PERSON_TYPE
homosexuals,PERSON_TYPE
National Comrades,PERSON_TYPE
two,MEASURE
Volksgemeinschaft,CONCEPT
Jewish,PERSON_TYPE
British police,INSTITUTION
Croydon airport,LOCATION
March 1939,PERIOD
Warsaw,LOCATION
Jews,PERSON_TYPE
Volksgemeinschaft,CONCEPT
German,NATIONAL
Detlev Peukert,PERSON
National Socialists,PERSON_TYPE
Volksgemeinschaft,CONCEPT
Peukert,PERSON
Treatment of Community Aliens,LEGAL
1944,PERIOD
Nazi,PERSON_TYPE
March 1933 Reichstag elections,EVENT
Nazis,PERSON_TYPE
Dachau,INSTALLATION
9 March 1933,PERIOD
Communists and Social Democrats,PERSON_TYPE
Sturmabteilung (SA),INSTITUTION
Schutzstaffel (SS),INSTITUTION
mid-1934,PERIOD
SS,INSTITUTION
Germans,PERSON_TYPE
Volksgemeinschaft,CONCEPT
National Comrades,PERSON_TYPE
1930s,PERIOD
Jews,PERSON_TYPE
Israeli,NATIONAL
Saul Friedländer,PERSON
Nazis,PERSON_TYPE
Germany,LOCATION
German,NATIONAL
1 April 1933,PERIOD
Jewish,PERSON_TYPE
first,MEASURE
antisemitic,CONCEPTUAL
a week,PERIOD
one day,PERIOD
1933,PERIOD
Law for the Restoration of the Professional Civil Service,LEGAL
Jews,PERSON_TYPE
Aryans,PERSON_TYPE
Aryan,PERSON_TYPE
Aryan,PERSON_TYPE
first,MEASURE
antisemitic,CONCEPTUAL
Third Reich,INSTITUTION
Physicians' Law; and the Farm Law,LEGAL
Jews,PERSON_TYPE
Jewish,PERSON_TYPE
Dresden,LOCATION
Jewish,PERSON_TYPE
President Paul von Hindenburg,PERSON
Hitler,PERSON
Jewish,PERSON_TYPE
First World War,EVENT
1937,PERIOD
Hindenburg,PERSON
Jews,PERSON_TYPE
Law to Prevent Overcrowding in Schools,LEGAL
Journalists' Association,ORGANISATION
July 1933,PERIOD
Law for the Prevention of Hereditarily Diseased Offspring,LEGAL
over 200,MEASURE
Hereditary Health Courts (Erbgesundheitsgerichte),INSTITUTION
over 400;000,MEASURE
Nazi period,EVENT
Nuremberg Laws of 1935,LEGAL
1935,PERIOD
Hitler,PERSON
Nuremberg Laws,LEGAL
Aryans,PERSON_TYPE
Jews,PERSON_TYPE
Gypsies; Negroes,PERSON_TYPE
Law for the Protection of German Blood and German Honor,LEGAL
German Jews,PERSON_TYPE
Nazis,PERSON_TYPE
Rassenschande,CONCEPT
Hitler,PERSON
Blood Law,LEGAL
final solution of the National Socialist Party,UNKNOWN
Hitler,PERSON
Jewish,PERSON_TYPE
National-Socialist Party,ORGANISATION
final solution,UNKNOWN
final solution (Endlösung),UNKNOWN
Nazi,PERSON_TYPE
Jews,PERSON_TYPE
January 1939,PERIOD
Jewry,PERSON_TYPE
Europe,LOCATION
Bolshevization of the earth,CONCEPT
Jewry,PERSON_TYPE
Jewish,PERSON_TYPE
Europe,LOCATION
1940,PERIOD
Nazi,PERSON_TYPE
The Eternal Jew (Der ewige Jude),CREATION
Jews,PERSON_TYPE
Europe,LOCATION
Intellectuals,PERSON_TYPE
Walter Benjamin,PERSON
Paris,LOCATION
18 March 1933,PERIOD
Lion Feuchtwanger,PERSON
Switzerland,LOCATION
Bruno Walter,PERSON
Berlin Philharmonic,INSTALLATION
Frankfurter Zeitung,MEDIA
6 April,PERIOD
Walter,PERSON
Otto Klemperer,PERSON
German,PERSON_TYPE
Jewish,PERSON_TYPE
Albert Einstein,PERSON
US,LOCATION
30 January 1933,PERIOD
Ostende in Belgium,LOCATION
Germany,LOCATION
Kaiser Wilhelm Society,ORGANISATION
Prussian Academy of Sciences,ORGANISATION
Germany,LOCATION
Austria,LOCATION
1938,PERIOD
Sigmund Freud,PERSON
Vienna,LOCATION
England,LOCATION
Saul Friedländer,PERSON
Max Liebermann; honorary president of the Prussian Academy of Arts,PERSON
two years later,PERIOD
1943,PERIOD
85,MEASURE
Kristallnacht (1938),EVENT
Kristallnacht,EVENT
Siegen,LOCATION
10 November 1938,PERIOD
7 November 1938,PERIOD
Jewish,PERSON_TYPE
Herschel Grünspan,PERSON
Nazi German,PERSON_TYPE
Ernst vom Rath,PERSON
Paris,LOCATION
Nazis,PERSON_TYPE
Jewish Germans,PERSON_TYPE
Nazis,PERSON_TYPE
Nazi Party,INSTITUTION
SA,INSTITUTION
Nazi Germany,LOCATION
Germany,LOCATION
Austria; and Sudetenland,LOCATION
Kristallnacht (Crystal Night or Night of Broken Glass),EVENT
Jews,PERSON_TYPE
Jewish,PERSON_TYPE
Over 7;000,MEASURE
Jewish,PERSON_TYPE
more than 1;200,MEASURE
two-thirds,MEASURE
German,NATIONAL
91,MEASURE
30;000,MEASURE
Dachau; Sachsenhausen; Buchenwald; and Oranienburg,LOCATION
several weeks,PERIOD
Nazis,PERSON_TYPE
German Jewry,PERSON_TYPE
several hundred thousand,MEASURE
more than a billion,MEASURE
Jewish,PERSON_TYPE
Germany,LOCATION
Jewish,PERSON_TYPE
Germany,LOCATION
Romani and Slavs,PERSON_TYPE
930,MEASURE
Jewish,PERSON_TYPE
MS St. Louis,ARTIFACT
Cuba; the United States and Canada,LOCATION
Europe,LOCATION
Nazis,PERSON_TYPE
German,PERSON_TYPE
European,PERSON_TYPE
Jewry,PERSON_TYPE
Europe,LOCATION
Hitler,PERSON
1938–39 Schacht Plan,UNKNOWN
thousands,MEASURE
Jews,PERSON_TYPE
Schacht Plan,UNKNOWN
Nazi,PERSON_TYPE
Europe's Jews,PERSON_TYPE
Siberia,LOCATION
Palestine,LOCATION
Nazi,PERSON_TYPE
1933,PERIOD
Zionist Federation of Germany (die Zionistische Vereinigung für Deutschland),ORGANISATION
Nazi government,INSTITUTION
Haavara Agreement,LEGAL
60;000,MEASURE
German Jews,PERSON_TYPE
100 million,MEASURE
Germany,LOCATION
Palestine,LOCATION
World War II,EVENT
Hitler,PERSON
German,NATIONAL
Tanganyika and South West Africa,LOCATION
Jewish,PERSON_TYPE
Germans,PERSON_TYPE
Germans,PERSON_TYPE
United Kingdom and France,LOCATION
Jews,PERSON_TYPE
British Palestine,LOCATION
Italian Abyssinia; British Rhodesia; French Madagascar; and Australia,LOCATION
Madagascar,LOCATION
Heydrich,PERSON
Madagascar Plan,UNKNOWN
final solution,UNKNOWN
Hitler,PERSON
1938,PERIOD
Adolf Eichmann,PERSON
Jews,PERSON_TYPE
1941,PERIOD
Madagascar Plan,UNKNOWN
10 February 1942,PERIOD
German Foreign Office,INSTITUTION
Soviet Union,LOCATION
Jews,PERSON_TYPE
Nazi,PERSON_TYPE
Germans,PERSON_TYPE
Lebensraum,CONCEPT
Nazi,CONCEPTUAL
Nazis,PERSON_TYPE
Poland,LOCATION
Russia,LOCATION
Operation Barbarossa,EVENT
Russian and Slavic,PERSON_TYPE
Hitler,PERSON
Jewish Bolshevism,CONCEPT
German-occupied Poland,LOCATION
Holocaust in Poland,EVENT
Invasion of Poland; Occupation of Poland (1939–45),EVENT
Jews,PERSON_TYPE
Poland,LOCATION
Nazi Germany,LOCATION
1941,PERIOD
Poland,LOCATION
General Government area,LOCATION
Germany's invasion of Poland in September 1939,EVENT
Jewish Question,CONCEPT
Poland,LOCATION
three million,MEASURE
Jews,PERSON_TYPE
nine percent,MEASURE
Polish,PERSON_TYPE
two-thirds,MEASURE
Nazi,PERSON_TYPE
Poland,LOCATION
September 1939,PERIOD
Himmler,PERSON
Reinhard Heydrich,PERSON
chief of the Reich Main Security Office (Reichssicherheitshauptamt or RSHA),TITLE
seven,MEASURE
Security Service (SD) and Gestapo,INSTITUTION
SS,INSTITUTION
occupied Poland,LOCATION
Jews,PERSON_TYPE
Heydrich,PERSON
Jews,PERSON_TYPE
German,NATIONAL
Operation Tannenberg,EVENT
Selbstschutz,ORGANISATION
Heydrich,PERSON
Reichsprotektor of Bohemia and Moravia,TITLE
Polish Jews,PERSON_TYPE
German,NATIONAL
Heydrich,PERSON
1961,PERIOD
Adolf Eichmann,PERSON
Jews,PERSON_TYPE
Hans Frank; Nazi governor,PERSON
occupied Poland,LOCATION
Jews,PERSON_TYPE
General Government area of central Poland,LOCATION
Reich Labor Office,INSTITUTION
Fritz Sauckel,PERSON
many thousands,MEASURE
Nazis,PERSON_TYPE
Vernichtung durch Arbeit,CONCEPT
Jewish,PERSON_TYPE
German-occupied Poland,LOCATION
late 1941,PERIOD
SS,INSTITUTION
Jews,PERSON_TYPE
German,NATIONAL
Nazi,PERSON_TYPE
Hermann Göring,PERSON
German,NATIONAL
German army's Economics Department,INSTITUTION
Jewish,PERSON_TYPE
General Government area,LOCATION
more than a million,MEASURE
Germany,LOCATION
Soviet Union,LOCATION
Jewish,PERSON_TYPE
Zolochiv; west Ukraine (Nazi occupied USSR),LOCATION
Soviets,PERSON_TYPE
Gestapo,INSTITUTION
Zolochiv,LOCATION
Germany,LOCATION
