Mention;Class
National Archives of Belgium;INSTITUTION
French law of October 26th 1796 (5 Brumair V);LEGAL
Brussels;LOCATION
Ancien Régime;PERIOD
1831;PERIOD
Brussels;LOCATION
National Archives of Belgium;INSTITUTION
early nineteenth century;PERIOD
National State Archivist;TITLE
National Archives;INSTITUTION
1851;PERIOD
The “Archives Générales du Royaume”(National Archives of Belgium) and the “Archives de l’État dans les Provinces”(State Archives in the Provinces);INSTITUTION
State Archives;INSTITUTION
“Service Public Fédéral de Programmation Politique scientifique”(Belgian Federal Science Policy Office);INSTITUTION
Archives Générales du Royaume;INSTITUTION
Brussels;LOCATION
18;MEASURE
State Archives;INSTITUTION
State Archives;INSTITUTION
State Archives;INSTITUTION
State Archives;INSTITUTION
30 years;PERIOD
National Archives of Belgium 2 – Joseph Cuvelier repository;INSTITUTION
Federal Public Service Justice;INSTITUTION
Brussels-Capital Region;LOCATION
justices of peace, police tribunals, Court of Cassation;INSTITUTION
Federal Public Service Economy;INSTITUTION
Ministry for Reconstruction;INSTITUTION
http://search.arch.be/;WEBSITE
State Archives;INSTITUTION
