Mention;Class
the Archive;INSTITUTION
four;MEASURE
first;MEASURE
from 1919-1940;PERIOD
Lithuanian independence;EVENT
World War I;EVENT
second;MEASURE
from 1941-1944;PERIOD
Nazi occupation of Lithuania;EVENT
third;MEASURE
from 1944-1991;PERIOD
Soviet regime;EVENT
fourth;MEASURE
from 1991 to the present;PERIOD
first;MEASURE
Constitution;LEGAL
Central National Archives;INSTITUTION
Kaunas;LOCATION
Lithuania;LOCATION
1921;PERIOD
peace treaty;LEGAL
Soviet Russia and Lithuania;LOCATION
Kaunas;LOCATION
Russia;LOCATION
Czarist regime;EVENT
second;MEASURE
Nazi rule;EVENT
the Archive;INSTITUTION
the Archive;INSTITUTION
Reichskommissariat Ostland;INSTITUTION
German;NATIONAL
the Archives;INSTITUTION
Office for Internal Affairs;INSTITUTION
Kaunas;LOCATION
third;MEASURE
two;MEASURE
1940;PERIOD
Soviet Union;LOCATION
the Archives;INSTITUTION
Vilnius;LOCATION
the Archives;INSTITUTION
NKVD;INSTITUTION
Soviet Union;LOCATION
after World War II;PERIOD
the Archives;INSTITUTION
NKVD;INSTITUTION
1960;PERIOD
the Archives;INSTITUTION
National Council of Soviet Union Archives;INSTITUTION
the Archives Law;LEGAL
Archives;INSTITUTION
Lithuanian Central State Archives;INSTITUTION
the Archives;INSTITUTION
Central Archives administration;INSTITUTION
Lithuanian Council of Ministers;INSTITUTION
the Archives;INSTITUTION
between 1918 and 1990;PERIOD
Lithuanian;NATIONAL
the Archives;INSTITUTION
Lithuanian Constitution;LEGAL
European Union legislation;LEGAL
the Archives;INSTITUTION
the Archives;INSTITUTION
from 1918 until 1990;PERIOD
The division of Sound and Image;INSTITUTION
Lithuania;LOCATION
since 1919;PERIOD
since 1850's;PERIOD
since 1950;PERIOD
since 1988 until the present day;PERIOD
Archives;INSTITUTION
31 000 linear meters;MEASURE
the Archive;INSTITUTION
177;MEASURE
Nazi occupation;EVENT
72 189;MEASURE
Nazi period;EVENT
390,000;MEASURE
middle of the 19th c;PERIOD
A. Strauss, J. Čechavičius, A. Fleury, V. Zatorskis;PERSON
J. Bulhakas, M. Smečechauskas, J. Karazija, J. Miežlaiškis, B. Buračas, A.Varnas, A. Mickus, V. Janiselis;PERSON
Soviet period;PERIOD
Lithuanian;NATIONAL
ELTA;MEDIA
J. Juknevičius, V. Kapočius, A. Žižiūnas;PERSON
20,000;MEASURE
Lithuanian;NATIONAL
Riga;LOCATION
Riga;LOCATION
1907;PERIOD
3,000;MEASURE
1988;PERIOD
the Archives;INSTITUTION
National Liberation Movement Sąjūdis;ORGANISATION
independence of Lithuania;EVENT
January 1991;PERIOD
partisans;PERSON_TYPE
the Archives;INSTITUTION
Lithuanian National Foundation, Inc;ORGANISATION
9,000;MEASURE
1910s– to date;PERIOD
Lumieres;PERSON
1895;PERIOD
the Archives;INSTITUTION
Lithuanian;NATIONAL
from 1918–1940;PERIOD
Lithuanian;NATIONAL
K. Lukšys, J.Milius, brothers Motūza-Beleckas, S. Vainalavičius, S. Uzdonas and J. Miežlaiškis;PERSON
World War II;EVENT
Lithuanian Film Studios;BUSINESS
Lithuanian;NATIONAL
1946–1990;PERIOD
Lithuanian;NATIONAL
Blue Horizon"" (Žydrasis horizontas),""The Bridge"" (Tiltas), ""Ignotas Returned Home"" (Ignotas grįžo namo), ""The Turkeys"" (Kalakutai);CREATION
