Mention;Class
Benjamin Arditti;PERSON
Bulgarian Jewry;NATIONAL
1850-1964;PERIOD
Benjamin Arditti;PERSON
Vienna;LOCATION
1897;PERIOD
Sofia;LOCATION
two years;PERIOD
World War II;EVENT
from 1916-1949;PERIOD
Zionist movement in Bulgaria;ORGANISATION
Central Committee of the Zionist Union in Bulgaria;ORGANISATION
1919-1923;PERIOD
five;MEASURE
representative to the World Zionist Congress;TITLE
chairman of the Zionist Organization in Sofia;TITLE
Revisionist movement in Bulgaria;ORGANISATION
chairman;TITLE
from 1925-1935;PERIOD
Arditti;PERSON
Committee for the Rescue of Bulgarian Jewry during World War II;ORGANISATION
Zionist;CONCEPTUAL
aliya to Eretz Israel;CONCEPT
after 1944;PERIOD
Arditti;PERSON
representative of the Revisionists in the Union of Bulgarian Jews;TITLE
1947-1949;PERIOD
aliya to Israel;CONCEPT
Herut party and the Organization of Sephardi Jews in Israel;ORGANISATION
1949;PERIOD
chairman of the Central Committee of the World Sephardi Federation;TITLE
Knesset;INSTITUTION
1930s;PERIOD
Benjamin Arditti;PERSON
Jews of Bulgaria;PERSON_TYPE
two;MEASURE
Israel;LOCATION
Holocaust;EVENT
Jewish;PERSON_TYPE
Zionist movement in Bulgaria;ORGANISATION
Sephardi Jews;PERSON_TYPE
Eretz Israel;LOCATION
Benjamin Arditti;PERSON
Benjamin Arditti;PERSON
Benjamin Arditti;PERSON
Benjamin Arditti;PERSON
Knesset;INSTITUTION
Sephardi Jewish;PERSON_TYPE
Jews in Bulgaria;PERSON_TYPE
until World War II;PERIOD
Zionism;CONCEPT
Zionist movement in Bulgaria;ORGANISATION
Jews of Bulgaria;PERSON_TYPE
World War II;EVENT
Bulgaria;LOCATION
anti-Jewish legislation;LEGAL
anti-Semitic policy;LEGAL
Commissariat for Jewish Affairs activities;INSTITUTION
Jewish;PERSON_TYPE
Bulgaria;LOCATION
aliya;CONCEPT
Eretz Israel;LOCATION
two;MEASURE
Salvador;CREATION
Struma;CREATION
Holocaust of the Jews of Turkey and Macedonia;EVENT
Bulgaria;LOCATION
Rescue of the Jews of Bulgaria;EVENT
aliya;CONCEPT
Bulgaria;LOCATION
Eretz Israel;LOCATION
from the late 19th century until the""Great Aliya"", 1948-1949;PERIOD
Arditti;PERSON
Jews of Bulgaria;PERSON_TYPE
before the 1940s;PERIOD
Zionist movement;ORGANISATION
Bulgaria;LOCATION
Jews of Bulgaria, Turkey and Macedonia;PERSON_TYPE
Holocaust;EVENT
