Mention;Class
United Kingdom European Union membership referendum;EVENT
United Kingdom;LOCATION
EU referendum;EVENT
Brexit referendum;EVENT
Thursday 23 June 2016;PERIOD
UK and Gibraltar;LOCATION
European Union;INSTITUTION
EU;INSTITUTION
51.9%;MEASURE
72%;MEASURE
UK;LOCATION
1992 UK General Election;EVENT
United Kingdom;LOCATION
England and Wales;LOCATION
Scotland and Northern Ireland;LOCATION
Gibraltar;LOCATION
EU;INSTITUTION
several years;PERIOD
British government;INSTITUTION
Article 50 of the Treaty on European Union;LEGAL
EU;INSTITUTION
United Kingdom;LOCATION
European Economic Community (EEC, or ""Common Market"");INSTITUTION
1973;PERIOD
EEC;INSTITUTION
1975;PERIOD
67%;MEASURE
Conservative Party;ORGANISATION
UK Parliament;INSTITUTION
European Union Referendum Act 2015;LEGAL
Britain Stronger in Europe;ORGANISATION
UK;LOCATION
EU;INSTITUTION
Vote Leave;ORGANISATION
British;NATIONAL
European Union;INSTITUTION
Brexit;EVENT
British;NATIONAL
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
UK;LOCATION
billions;MEASURE
EU;INSTITUTION
UK;LOCATION
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
UK;LOCATION
European;NATIONAL
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
2 trillion;MEASURE
United States;LOCATION
24 June 2016;PERIOD
3 trillion;MEASURE
US;LOCATION
27 June;PERIOD
US;LOCATION
31;MEASURE
UK;LOCATION
EU;INSTITUTION
Standard & Poor's;BUSINESS
29 June;PERIOD
Prime Minister David Cameron;PERSON
Britain Stronger in Europe;ORGANISATION
HM Government;INSTITUTION
Theresa May;PERSON
13 July;PERIOD
Labour Party;ORGANISATION
EU referendum;EVENT
Scottish Government;INSTITUTION
United Kingdom;LOCATION
EU;INSTITUTION
Scotland;LOCATION
EU;INSTITUTION
Nigel Farage;PERSON
EU;INSTITUTION
UKIP;ORGANISATION
European Communities Act 1972 (UK) and European Union Act 2011;LEGAL
European Economic Community (EEC);INSTITUTION
1957;PERIOD
United Kingdom (UK);LOCATION
1961;PERIOD
France;LOCATION
UK;LOCATION
1973;PERIOD
two years later;PERIOD
67%;MEASURE
Maastricht Treaty;LEGAL
European Union (EU);INSTITUTION
1993;PERIOD
Treaty of Lisbon;LEGAL
EEC;INSTITUTION
2015;PERIOD
David Cameron;PERSON
EU;INSTITUTION
European Parliament election in 2014;EVENT
UK Independence Party (UKIP);ORGANISATION
Conservative Party;ORGANISATION
third;MEASURE
first;MEASURE
Conservatives or Labour;PERSON_TYPE
108 years;PERIOD
European Parliament;INSTITUTION
UKIP;ORGANISATION
British;NATIONAL
European Parliament;INSTITUTION
May 2012 NATO summit meeting;EVENT
British Prime Minister David Cameron, William Hague and Ed Llewellyn;PERSON
European Union;INSTITUTION
Eurosceptic;CONCEPTUAL
Conservative Party;ORGANISATION
January 2013;PERIOD
Cameron;PERSON
Conservative Party;ORGANISATION
2015 general election;EVENT
UK Government;INSTITUTION
British;NATIONAL
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
May 2013;PERIOD
Conservative Party;ORGANISATION
EU Referendum Bill;LEGAL
2015;PERIOD
31 December 2017;PERIOD
Private Member;TITLE
Conservative MP James Wharton;PERSON
First;MEASURE
House of Commons;INSTITUTION
19 June 2013;PERIOD
Cameron;PERSON
Conservative Party;ORGANISATION
UK Governement;INSTITUTION
2015-20 Parliament;INSTITUTION
EU;INSTITUTION
end of December 2017;PERIOD
Secretary of State;TITLE
end of 2016;PERIOD
2015;PERIOD
Parliament;INSTITUTION
Second;MEASURE
5 July 2013;PERIOD
304;MEASURE
Labour MPs;TITLE
Liberal Democrat MPs;TITLE
Commons;INSTITUTION
November 2013;PERIOD
House of Lords;INSTITUTION
December 2013;PERIOD
Conservative MP Bob Neill;PERSON
Alternative Referendum Bill;LEGAL
Commons;INSTITUTION
17 October 2014;PERIOD
Public Bills Committee;ORGANISATION
Commons;INSTITUTION
Dissolution of Parliament on 27 March 2015;EVENT
Ed Miliband;PERSON
between 2010 and 2015;PERIOD
Labour Party;ORGANISATION
UK;LOCATION
EU;INSTITUTION
2015 general election;EVENT
Liberal Democrats;ORGANISATION
EU;INSTITUTION
The UK Independence Party (UKIP), the British National Party (BNP), the Green Party, the Democratic Unionist Party and the Respect Party;ORGANISATION
Conservative Party;ORGANISATION
House of Commons;INSTITUTION
May 2015 general election;EVENT
Cameron;PERSON
UK;LOCATION
EU;INSTITUTION
end of 2017;PERIOD
Britain;LOCATION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
2016;PERIOD
early 2014;PERIOD
Prime Minister David Cameron;PERSON
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
European Court of Human Rights;INSTITUTION
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
November that year;PERIOD
Cameron;PERSON
EU;INSTITUTION
Eurozone;INSTITUTION
Eurozone;INSTITUTION
EU;INSTITUTION
Eurozone;INSTITUTION
UK;LOCATION
EU;INSTITUTION
EU;INSTITUTION
UK;LOCATION
four years;PERIOD
February 2016;PERIOD
United Kingdom;LOCATION
European Union;INSTITUTION
UK;LOCATION
EU;INSTITUTION
UK;LOCATION
EU;INSTITUTION
four years;PERIOD
European Council;INSTITUTION
UK;LOCATION
EU;INSTITUTION
Cameron;PERSON
EU;INSTITUTION
EU;INSTITUTION
European Council;INSTITUTION
Eurozone;INSTITUTION
two;MEASURE
third;MEASURE
Union;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
EU;INSTITUTION
David Cameron;PERSON
UK;LOCATION
first four years;PERIOD
seven years;PERIOD
Brexit referendum;EVENT
UK;LOCATION
EU;INSTITUTION
Cameron;PERSON
Brexit;EVENT
European;NATIONAL
Financial Times;MEDIA
EU;INSTITUTION
Angela Merkel;PERSON
German Parliament;INSTITUTION
European;NATIONAL
Great Britain;LOCATION
United Kingdom and Gibraltar;LOCATION
two;MEASURE
first;MEASURE
European Union Referendum Act 2015;LEGAL
Parliament of the United Kingdom;INSTITUTION
Royal Assent;LEGAL
17 December 2015;PERIOD
second;MEASURE
European Union (Referendum) Act 2016;LEGAL
Gibraltar Parliament ;INSTITUTION
Gibraltar;LOCATION
Royal Assent;LEGAL
28 January 2016;PERIOD
Queen 's Speech on 27 May 2015;EVENT
Cameron;PERSON
October 2016;PERIOD
European Union Referendum Act 2015;LEGAL
House of Commons;INSTITUTION
following day;PERIOD
three weeks after the election;PERIOD
second;MEASURE
9 June;PERIOD
House of Commons;INSTITUTION
544;MEASURE
53;MEASURE
Scottish National Party;ORGANISATION
Labour Party;ORGANISATION
2015 general election;EVENT
Miliband;PERSON
Labour;ORGANISATION
Harriet Harman;PERSON
EU;INSTITUTION
2017;PERIOD
June;PERIOD
First Ministers of Northern Ireland, Scotland, and Wales;TITLE
Cameron;PERSON
June;PERIOD
previous month;PERIOD
a year;PERIOD
2015 General Election;EVENT
Westminster;LOCATION
Fixed Term parliament Act;LEGAL
Cameron;PERSON
February 2016;PERIOD
Cameron;PERSON
UK;LOCATION
EU;INSTITUTION
23 June;PERIOD
Parliament;INSTITUTION
European Union Referendum Act 2015;LEGAL
22 February;PERIOD
UK Government;INSTITUTION
Cabinet collective responsibility;LEGAL
European Union Referendum Act 2015;LEGAL
British, Irish;PERSON_TYPE
Commonwealth;INSTITUTION
18;MEASURE
UK or Gibraltar;LOCATION
British;PERSON_TYPE
UK;LOCATION
last 15 years;PERIOD
midnight on 7 June 2016;PERIOD
48 hours;PERIOD
7 June;PERIOD
Leave campaign;ORGANISATION
Conservative MP Sir Gerald Howarth;PERSON
Remain;ORGANISATION
Remain;ORGANISATION
46.5 million;MEASURE
Crown dependencies of the Isle of Man, Jersey and Guernsey;LOCATION
EU;INSTITUTION
Gibraltar;LOCATION
EU;INSTITUTION
European Union;INSTITUTION
three;MEASURE
EU;INSTITUTION
Algeria;LOCATION
1962, independence from France;EVENT
Greenland;LOCATION
1985;PERIOD
Saint Barthélemy;LOCATION
2012;PERIOD
two;MEASURE
Overseas Countries and Territories of the European Union;LOCATION
Article 49A of the Treaty of Lisbon;LEGAL
1 December 2009;PERIOD
first;MEASURE
EU;INSTITUTION
Union;INSTITUTION
European Council;INSTITUTION
European Council;INSTITUTION
Union;INSTITUTION
Union;INSTITUTION
Article 218 (3) of the Treaty on the Functioning of the European Union;LEGAL
Union;INSTITUTION
Council;INSTITUTION
European Parliament;INSTITUTION
two years;PERIOD
European Council;INSTITUTION
The Guardian;MEDIA
Article 50;LEGAL
article 50;LEGAL
Brussels, Berlin or Paris;LOCATION
article 50;LEGAL
EU;INSTITUTION
Brexit;EVENT
European Union;INSTITUTION
Kenneth Armstrong, professor of European law at Cambridge University;PERSON
article 50;LEGAL
British government;INSTITUTION
European council;INSTITUTION
EU;INSTITUTION
Reuters;MEDIA
EU;INSTITUTION
EU;INSTITUTION
Scotland Act 1998;LEGAL
Scottish Parliament;INSTITUTION
EU;INSTITUTION
Scotland;LOCATION
Scottish Parliament;INSTITUTION
UK;LOCATION
EU;INSTITUTION
Scotland Act 1998;LEGAL
UK Parliament;INSTITUTION
Scottish Parliament;INSTITUTION
Leave;ORGANISATION
26 June 2016;PERIOD
First Minister Nicola Sturgeon;PERSON
Scottish Parliament;INSTITUTION
UK;LOCATION
EU;INSTITUTION
1998 Act;LEGAL
Section 28 (7) of the Act;LEGAL
Parliament of the United Kingdom;INSTITUTION
Scotland;LOCATION
Electoral Commission;ORGANISATION
September 2015;PERIOD
third;MEASURE
May 2016;PERIOD
United Kingdom;LOCATION
European Union;INSTITUTION
European Union;INSTITUTION
European Union;INSTITUTION
European Union;INSTITUTION
United Kingdom European Union membership referendum, 2016;EVENT
Britain Stronger in Europe;ORGANISATION
London;LOCATION
June 2016;PERIOD
Leave and Remain campaigns;ORGANISATION
Pimlico, London;LOCATION
As of October 2015;PERIOD
Britain;LOCATION
Britain Stronger in Europe;ORGANISATION
two;MEASURE
Leave;ORGANISATION
EU;INSTITUTION
UKIP;ORGANISATION
Nigel Farage;PERSON
Vote Leave;ORGANISATION
Conservative Party Eurosceptics;PERSON_TYPE
Electoral Commission;ORGANISATION
13 April 2016;PERIOD
Vote Leave;ORGANISATION
7m;MEASURE
600,000;MEASURE
Leave;ORGANISATION
EU;INSTITUTION
Grassroots Out;ORGANISATION
UK government;INSTITUTION
April;PERIOD
16 June;PERIOD
19 June;PERIOD
killing of MP Jo Cox;EVENT
HM Government;INSTITUTION
England;LOCATION
11 April;PERIOD
Scotland, Wales and Northern Ireland;LOCATION
5 May;PERIOD
UK;LOCATION
EU;INSTITUTION
85%;MEASURE
9.3 million;MEASURE
16 May;PERIOD
Electoral Commission;ORGANISATION
UK and Gibraltar;LOCATION
eight;MEASURE
Britain Stronger in Europe;ORGANISATION
Vote Leave;ORGANISATION
Westminster;LOCATION
European;NATIONAL
Britain First, the British National Party (BNP), Éirígí, Respect Party, Trade Unionist and Socialist Coalition (TUSC), SDP, Liberal Party, and Independence from Europe;ORGANISATION
EU;INSTITUTION
Scottish Socialist Party (SSP);ORGANISATION
EU;INSTITUTION
Women's Equality Party (WE);ORGANISATION
Gibraltar Parliament;INSTITUTION
Remain;ORGANISATION
Gibraltar Social Democrats (GSD), the Gibraltar Socialist Labour Party (GSLP), and the Liberal Party of Gibraltar;ORGANISATION
