Mention;Class
Anti-Jewish legislation;LEGAL
prewar Nazi Germany;LOCATION
Nazi Germany;LOCATION
Nuremberg Laws, and Haavara Agreement;LEGAL
Third Reich;INSTITUTION
Nazi;PERSON_TYPE
Volksgemeinschaft;CONCEPT
Nazi;PERSON_TYPE
two;MEASURE
Volksgenossen (""national comrades"");PERSON_TYPE
Volksgemeinschaft;CONCEPT
Gemeinschaftsfremde;PERSON_TYPE
Nazi;PERSON_TYPE
three;MEASURE
Jews and the Romani;PERSON_TYPE
Marxists, liberals, Christians and the ""reactionaries"";PERSON_TYPE
National Comrades;PERSON_TYPE
homosexuals;PERSON_TYPE
National Comrades;PERSON_TYPE
two;MEASURE
Volksgemeinschaft;CONCEPT
Jewish;PERSON_TYPE
British police;INSTITUTION
Croydon airport;LOCATION
March 1939;PERIOD
Warsaw;LOCATION
Jews;PERSON_TYPE
Volksgemeinschaft;CONCEPT
German;NATIONAL
Detlev Peukert;PERSON
National Socialists;PERSON_TYPE
Volksgemeinschaft;CONCEPT
Peukert;PERSON
Treatment of Community Aliens;LEGAL
1944;PERIOD
Nazi;PERSON_TYPE
March 1933 Reichstag elections;EVENT
Nazis;PERSON_TYPE
Dachau;INSTALLATION
9 March 1933;PERIOD
Communists and Social Democrats;PERSON_TYPE
Sturmabteilung (SA);INSTITUTION
Schutzstaffel (SS);INSTITUTION
mid-1934;PERIOD
SS;INSTITUTION
Germans;PERSON_TYPE
Volksgemeinschaft;CONCEPT
National Comrades;PERSON_TYPE
1930s;PERIOD
Jews;PERSON_TYPE
Israeli;NATIONAL
Saul Friedländer;PERSON
Nazis;PERSON_TYPE
Germany;LOCATION
German;NATIONAL
1 April 1933;PERIOD
Jewish;PERSON_TYPE
first;MEASURE
antisemitic;CONCEPTUAL
a week;PERIOD
one day;PERIOD
1933;PERIOD
Law for the Restoration of the Professional Civil Service;LEGAL
Jews;PERSON_TYPE
Aryans;PERSON_TYPE
Aryan;PERSON_TYPE
Aryan;PERSON_TYPE
first;MEASURE
antisemitic;CONCEPTUAL
Third Reich;INSTITUTION
Physicians' Law; and the Farm Law;LEGAL
Jews;PERSON_TYPE
