Mention;Class
World War Z: An Oral History of the Zombie War (2006);CREATION
Max Brooks;PERSON
United Nations Postwar Commission;INSTITUTION
decade;MEASURE
World War Z;CREATION
Brooks;PERSON
The Zombie Survival Guide (2003);CREATION
The Good War: An Oral History of World War Two (1984);CREATION
Studs Terkel;PERSON
George A. Romero;PERSON
Brooks;PERSON
World War Z;CREATION
American isolationism;CONCEPT
survivalism;CONCEPT
Alan Alda, Mark Hamill, and John Turturro;PERSON
Audie Award;AWARD
2007;PERIOD
Marc Forster;PERSON
Brad Pitt;PERSON
2013;PERIOD
Max Brooks;PERSON
United Nations Postwar Commission;INSTITUTION
China;LOCATION
Chinese government;INSTITUTION
Taiwan;LOCATION
South Africa;LOCATION
Israel;LOCATION
Palestinian territories;LOCATION
Jews and Palestinians;PERSON_TYPE
ultra-Orthodox uprising;CONCEPTUAL
Israeli;NATIONAL
United States;LOCATION
Great Panic;EVENT
Pakistan and Iran;LOCATION
Iranian government;INSTITUTION
Pakistan;LOCATION
Iran;LOCATION
New York City;LOCATION
U.S. military;INSTITUTION
Yonkers;LOCATION
Battle of Yonkers;EVENT
South Africa;LOCATION
apartheid-era;PERIOD
Paul Redeker;PERSON
Japanese archipelago;LOCATION
Kamchatka;LOCATION
North America;LOCATION
northern Canada;LOCATION
Arctic;LOCATION
eleven million;MEASURE
cannibalism;CONCEPT
cannibalism;CONCEPT
United States;LOCATION
three;MEASURE
International Space Station;INSTALLATION
Chinese space station;INSTALLATION
ISS;INSTITUTION
American Great Plains and Central Asia;LOCATION
Earth;LOCATION
U.S.;LOCATION
Rocky Mountains;LOCATION
next decade;PERIOD
U.S. government;INSTITUTION
Re-education Act;LEGAL
Seven years after the outbreak;PERIOD
coast of Honolulu;LOCATION
USS Saratoga;INSTALLATION
U.S. President;TITLE
U.S. military;INSTITUTION
Indian Army;INSTITUTION
Great Panic;EVENT
Lobotomizer;ARTIFACT
Lobo;ARTIFACT
American;NATIONAL
three-year;PERIOD
United States;LOCATION
Ten years after the official end of the zombie war;PERIOD
millions;MEASURE
Cuba;LOCATION
China;LOCATION
Chinese Federation;LOCATION
Tibet;LOCATION
Chinese;NATIONAL
Lhasa;LOCATION
Russian orthodoxy;CONCEPT
Russia;LOCATION
Holy Russian Empire;LOCATION
Russians;NATIONAL
North Korea;LOCATION
British Isles;LOCATION
Ireland;LOCATION
British Royal Family;PERSON_TYPE
Ireland and the Isle of Man;LOCATION
Antonine Wall;INSTALLATION
Windsor Castle;INSTALLATION
Queen;TITLE
The Papacy;INSTITUTION
Roman Catholic Archdiocese of Armagh;INSTALLATION
France;LOCATION
Palace of Versailles;INSTALLATION
the catacombs;INSTALLATION
Paris;LOCATION
the catacombs;INSTALLATION
a quarter of a million;MEASURE
Iceland;LOCATION
Israelis and Palestinians;PERSON_TYPE
occupied territories;LOCATION
Unified Palestine;LOCATION
Mexico;LOCATION
Aztlán;LOCATION
Pacific Continent;LOCATION
Saudi Royal Family;PERSON_TYPE
Saudi Arabia;LOCATION
United Nations;ORGANISATION
Brooks;PERSON
World War Z;CREATION
The Zombie Survival Guide (2003);CREATION
The Zombie Survival Guide;CREATION
Max Brooks;PERSON
George Romero;PERSON
SDCC;EVENT
2007;PERIOD
Brooks;PERSON
The Good War: An Oral History of World War Two"" (1984);CREATION
Studs Terkel;PERSON
Terkel;PERSON
World War II;EVENT
World War Z: An Oral History of the Zombie War;CREATION
Brooks;PERSON
George A. Romero;PERSON
The Return of the Living Dead;CREATION
the living dead;CREATION
Batman;CREATION
The Dark Knight;CREATION
Brooks;PERSON
Transformers;CREATION
Brooks;PERSON
World War Z;CREATION
Brooks;PERSON
U.S. Army;INSTITUTION
