Mention;Class
World War I;EVENT
Wikipedia;WEBSITE
World War I;EVENT
Wikipedia;WEBSITE
World War I (WWI);EVENT
Europe;LOCATION
28 July 1914;PERIOD
until 11 November 1918;PERIOD
Great War;EVENT
World War II;EVENT
1939;PERIOD
First World War;EVENT
World War I;EVENT
two;MEASURE
Allies;INSTITUTION
Triple Entente of the United Kingdom, France and the Russian Empire;LEGAL
Central Powers of Germany and Austria-Hungary;ORGANISATION
Italy;LOCATION
Triple Alliance;INSTITUTION
Germany and Austria-Hungary;LOCATION
Central Powers;INSTITUTION
Austria-Hungary;LOCATION
Italy, Japan and the United States;LOCATION
Allies;INSTITUTION
Ottoman Empire and Bulgaria;LOCATION
Central Powers;INSTITUTION
more than 70 million;MEASURE
60 million;MEASURE
Europeans;PERSON_TYPE
More than 9 million;MEASURE
fifth;MEASURE
imperialism;CONCEPT
Europe;LOCATION
Archduke Franz Ferdinand of Austria;PERSON
Austria-Hungary;LOCATION
28 June 1914;PERIOD
Yugoslav nationalist Gavrilo Princip;PERSON
Sarajevo;LOCATION
Austria-Hungary;LOCATION
Kingdom of Serbia;LOCATION
previous decades;PERIOD
weeks;PERIOD
28 July;PERIOD
Austro-Hungarians;PERSON_TYPE
Serbia;LOCATION
Russians;PERSON_TYPE
Germans;PERSON_TYPE
Belgium and Luxembourg;LOCATION
France;LOCATION
Britain;LOCATION
Germany;LOCATION
German march on Paris;EVENT
Miracle of the Marne;EVENT
Western Front;LOCATION
Eastern Front;LOCATION
Russian army;INSTITUTION
Austro - Hungarians;PERSON_TYPE
East Prussia;LOCATION
Germans;PERSON_TYPE
November;PERIOD
Ottoman Empire;LOCATION
Caucasus, Mesopotamia and the Sinai;LOCATION
Italy and Bulgaria;LOCATION
1915;PERIOD
Romania;LOCATION
1916;PERIOD
Russia;LOCATION
tsar's government;INSTITUTION
March 1917;PERIOD
November;PERIOD
Russians;PERSON_TYPE
Central Powers;INSTITUTION
1918;PERIOD
German;NATIONAL
western front;LOCATION
Allies;INSTITUTION
Germans;PERSON_TYPE
American;NATIONAL
Germany;LOCATION
11 November 1918;PERIOD
Allies;INSTITUTION
four;MEASURE
German, Russian, Austro - Hungarian and Ottoman empires;LOCATION
two;MEASURE
two;MEASURE
central Europe;LOCATION
League of Nations;INSTITUTION
European;NATIONAL
nationalism;CONCEPT
Germany;LOCATION
Nazis;PERSON_TYPE
World War II;EVENT
Canada;LOCATION
Maclean's Magazine;MEDIA
October 1914;PERIOD
Great War;EVENT
early months;PERIOD
New York;LOCATION
late 1914;PERIOD
The World War;CREATION
Interwar period;PERIOD
World War and the Great War;EVENT
English;CONCEPT
Second World War;EVENT
1939;PERIOD
World War I;EVENT
First World War;EVENT
British and Canadian;NATIONAL
First World War;EVENT
Americans;PERSON_TYPE
World War I;EVENT
First World War;EVENT
September 1914;PERIOD
German;NATIONAL
Ernst Haeckel;PERSON
European War;EVENT
first world war;EVENT
First World;EVENT
1920;PERIOD
officer;TITLE
Charles Court;PERSON
World War I;EVENT
19th century;PERIOD
European;NATIONAL
Europe;LOCATION
1900;PERIOD
1815;PERIOD
Holy Alliance;INSTITUTION
Prussia, Russia, and Austria;LOCATION
October 1873;PERIOD
German Chancellor Otto von Bismarck;PERSON
League of the Three Emperors;INSTITUTION
German;CONCEPT
Dreikaiserbund;INSTITUTION
Austria-Hungary, Russia and Germany;LOCATION
Austria-Hungary and Russia;LOCATION
Balkan policy;LEGAL
Germany and Austria-Hungary;LOCATION
1879;PERIOD
Dual Alliance;INSTITUTION
Russian;NATIONAL
Balkans;LOCATION
Ottoman Empire;LOCATION
1882;PERIOD
Italy;LOCATION
Triple Alliance;INSTITUTION
Bismarck;PERSON
Russia;LOCATION
Germany;LOCATION
two;MEASURE
France and Russia;LOCATION
Wilhelm II;PERSON
German Emperor (Kaiser) ;TITLE
Bismarck;PERSON
Kaiser;TITLE
Reinsurance Treaty;LEGAL
Russia;LOCATION
1890;PERIOD
Two years later;PERIOD
Franco - Russian Alliance;LEGAL
Triple Alliance;INSTITUTION
1904;PERIOD
Britain;LOCATION
France;LOCATION
Entente Cordiale;LEGAL
1907;PERIOD
Britain;LOCATION
Russia;LOCATION
Anglo - Russian Convention;LEGAL
Britain with France or Russia;LOCATION
British;NATIONAL
France or Russia;LOCATION
Triple Entente;INSTITUTION
German;NATIONAL
1871;PERIOD
mid - 1890s;PERIOD
Wilhelm II;PERSON
Kaiserliche Marine (Imperial German Navy) ;INSTITUTION
Admiral Alfred von Tirpitz;PERSON
British Royal Navy;INSTITUTION
HMS Dreadnought;ARTIFACT
1906;PERIOD
British Empire;LOCATION
German;NATIONAL
Britain and Germany;LOCATION
Europe;LOCATION
European;NATIONAL
Between 1908 and 1913;PERIOD
European;NATIONAL
50%;MEASURE
Austria-Hungary;LOCATION
Bosnian crisis of 1908 - 1909;EVENT
Ottoman;NATIONAL
Bosnia and Herzegovina;LOCATION
1878;PERIOD
Kingdom of Serbia;LOCATION
Pan - Slavic;CONCEPTUAL
Orthodox Russian Empire;LOCATION
Russian;NATIONAL
Europe;LOCATION
1912 and 1913;PERIOD
First Balkan War;EVENT
Balkan League;INSTITUTION
Ottoman Empire;LOCATION
Treaty of London;LEGAL
Ottoman Empire;LOCATION
Albanian;NATIONAL
Bulgaria, Serbia, Montenegro, and Greece;LOCATION
Bulgaria;LOCATION
Serbia and Greece;LOCATION
16 June 1913;PERIOD
Macedonia to Serbia and Greece and Southern Dobruja to Romania;LOCATION
33 - day Second Balkan War;EVENT
July 1914 crisis;EVENT
July Crisis;EVENT
28 June 1914;PERIOD
Gavrilo Princip;PERSON
Bosnian Serb;NATIONAL
Young Bosnia;ORGANISATION
Austro - Hungarian;NATIONAL
Archduke Franz Ferdinand of Austria;PERSON
Sarajevo, Bosnia;LOCATION
Austria-Hungary, Germany, Russia, France, and Britain;LOCATION
July Crisis;EVENT
Serbian;NATIONAL
Bosnia;LOCATION
Black Hand;ORGANISATION
Princip;PERSON
Austrians;PERSON_TYPE
Serbian officers;TITLE
Austria-Hungary;LOCATION
July Ultimatum;EVENT
Serbia;LOCATION
ten;MEASURE
Serbia;LOCATION
Serbia;LOCATION
eight of the ten;MEASURE
Austria-Hungary;LOCATION
28 July 1914;PERIOD
Strachan;PERSON
Serbia;LOCATION
Austria-Hungary;LOCATION
Franz Ferdinand;PERSON
Russian Empire;LOCATION
Austria-Hungary;LOCATION
Balkans;LOCATION
Serb;PERSON_TYPE
one day later;PERIOD
German Empire;LOCATION
30 July 1914;PERIOD
Schlieffen Plan;CONCEPT
France;LOCATION
French army;INSTITUTION
Russia;LOCATION
French cabinet;INSTITUTION
10 km;MEASURE
France;LOCATION
evening of 2 August;PERIOD
Germany;LOCATION
Belgium;LOCATION
French;NATIONAL
Germany;LOCATION
Russia;LOCATION
Britain;LOCATION
Germany;LOCATION
4 August 1914;PERIOD
British;NATIONAL
Belgium;LOCATION
Central Powers;INSTITUTION
Central Powers;INSTITUTION
Germany;LOCATION
Austria-Hungary;LOCATION
Serbia;LOCATION
1914;PERIOD
Austro - Hungarian;NATIONAL
Germany;LOCATION
Russia;LOCATION
Germany;LOCATION
Austria-Hungary;LOCATION
Russia;LOCATION
Germany;LOCATION
France;LOCATION
Austro - Hungarian Army;INSTITUTION
Russian and Serbian fronts;LOCATION
