WikidataID,Class
Q100,LOCATION
Q1000,LOCATION
Q1001,PERSON
Q100172,TITLE
Q1001935,LOCATION
Q1002,LOCATION
Q1004072,CREATION
Q1004302,LOCATION
Q1004875,PERSON_TYPE
Q1005,LOCATION
Q1005118,ORGANISATION
Q1005141,ORGANISATION
Q1005175,ORGANISATION
Q1005229,ORGANISATION
Q1005266,ORGANISATION
Q1006,LOCATION
Q1006398,TITLE
Q1007,LOCATION
Q100749,PERSON
Q1008,LOCATION
Q1009,LOCATION
Q10090,PERSON_TYPE
Q1009002,ORGANISATION
Q1009010,ORGANISATION
Q1009026,ORGANISATION
Q1009123,ORGANISATION
Q1009235,LOCATION
Q1009458,BUSINESS
Q1009535,PERIOD
Q1010,LOCATION
Q1010181,CONCEPT
Q1010199,LOCATION
Q1010263,LOCATION
Q1010514,ORGANISATION
Q1011,LOCATION
Q1012,LOCATION
Q1013,LOCATION
Q1013528,LOCATION
Q1014,LOCATION
Q1015,LOCATION
Q101534,EVENT
Q1015639,INSTALLATION
Q1016,LOCATION
Q1016577,PERSON_TYPE
Q1017,LOCATION
Q10179,CONCEPT
Q1018,LOCATION
Q101828,PERSON_TYPE
Q10188,CONCEPT
Q101886,PERSON
Q1019,LOCATION
Q10195,CONCEPT
Q1019520,ORGANISATION
Q101985,PERSON_TYPE
Q10199,CONCEPT
Q1020,LOCATION
Q10202,CREATION
Q1020589,LOCATION
Q10206,CONCEPT
Q102090,PERSON_TYPE
Q1021,LOCATION
Q1021091,LOCATION
Q102113,EVENT
Q1022,LOCATION
Q1022481,LOCATION
Q10225,ORGANISATION
Q102251,PERSON_TYPE
Q1023,PERSON
Q10230,ORGANISATION
Q1023185,SPORT_TEAM
Q1023235,SPORT_TEAM
Q1023532,SPORT_TEAM
Q1024,LOCATION
Q1024175,ORGANISATION
Q1024445,ARTIFACT
Q1025,LOCATION
Q1025638,CONCEPT
Q1025756,MEASURE
Q10259,PERIOD
Q1026,PERSON_TYPE
Q10260127,MEDIA
Q10260839,MEDIA
Q10260882,MEDIA
Q1026100,LOCATION
Q10262464,MEDIA
Q10263609,ARTIFACT
Q10263610,ARTIFACT
Q10265921,PERIOD
Q10267576,MEDIA
Q10268810,MEDIA
Q10269386,MEDIA
Q10269757,MEDIA
Q10269761,MEDIA
Q10269763,MEDIA
Q10269764,MEDIA
Q1027,LOCATION
Q10270224,INSTALLATION
Q10270233,MEDIA
Q10272436,MEDIA
Q10274775,MEDIA
Q10279020,MEDIA
Q1028,LOCATION
Q10281907,MEDIA
Q10282638,MEDIA
Q10282689,MEDIA
Q10283299,MEDIA
Q10286579,MEDIA
Q10287157,ORGANISATION
Q10288373,MEDIA
Q1029,LOCATION
Q10290161,MEDIA
Q1029958,TITLE
Q103,CREATION
Q1030,LOCATION
Q1030234,CONCEPT
Q1030281,MEDIA
Q1031074,ORGANISATION
Q103163,TITLE
Q1032,LOCATION
Q1032042,ARTIFACT
Q1032264,EVENT
Q103251,LOCATION
Q1033,LOCATION
Q1033140,PERIOD
Q10333,INSTITUTION
Q1034,LOCATION
Q1034556,SPORT_TEAM
Q1034573,PERIOD
Q1035,PERSON
Q10358204,MEDIA
Q10358220,MEDIA
Q10358245,MEDIA
Q10358277,MEDIA
Q1036,LOCATION
Q1037,LOCATION
Q103748,ORGANISATION
Q10376993,MEDIA
Q10377222,MEDIA
Q10377495,MEDIA
Q1038,SUBSTANCE
Q103801,LOCATION
Q10383264,MEDIA
Q103836,PERSON
Q10397024,MEASURE
Q1040,LOCATION
Q104063,LOCATION
Q104095,LOCATION
Q1041,LOCATION
Q1042,LOCATION
Q104238,PERSON_TYPE
Q1043,PERSON
Q104309,CONCEPT
Q1043096,CONCEPT
Q1043527,ORGANISATION
Q1043543,PERIOD
Q1043568,TITLE
Q1044,LOCATION
Q104444,PERSON_TYPE
Q1045,LOCATION
Q1045198,ORGANISATION
Q104520,LOCATION
Q10453586,INSTALLATION
Q1045401,ORGANISATION
Q1046,SUBSTANCE
Q10464898,PERSON_TYPE
Q1046722,ORGANISATION
Q1046939,SPORT_TEAM
Q1047,PERSON
Q104740,LOCATION
Q1047448,PERSON_TYPE
Q1048,PERSON
Q1048468,PERSON_TYPE
Q1048662,PERIOD
Q1048696,LOCATION
Q10488275,PERIOD
Q1049,LOCATION
Q1049141,PERIOD
Q105,PERIOD
Q1050,LOCATION
Q105024,PERSON
Q1050254,ORGANISATION
Q1051,PERSON
Q1051067,ARTIFACT
Q105112,ORGANISATION
Q1051405,ARTIFACT
Q1051650,ORGANISATION
Q1051657,ORGANISATION
Q1051916,CREATION
Q1052025,BUSINESS
Q1052077,ORGANISATION
Q105269,AWARD
Q1052781,SPORT_TEAM
Q1053,SUBSTANCE
Q1053299,BUSINESS
Q105338,PERSON
Q1053668,ORGANISATION
Q1053734,INSTITUTION
Q1054,SUBSTANCE
Q105405,PERSON_TYPE
Q1054102,CONCEPT
Q105447,AWARD
Q1054791,PERSON_TYPE
Q1054799,TITLE
Q1055,LOCATION
Q1056,PERSON
Q1056391,TITLE
Q10566647,ORGANISATION
Q1058,PERSON
Q105809,AWARD
Q1058263,CONCEPT
Q105849,ORGANISATION
Q1058594,ORGANISATION
Q105861,SPORT_TEAM
Q1058645,MEDIA
Q1058686,PERSON_TYPE
Q10590172,ORGANISATION
Q1059047,INSTITUTION
Q1059114,PERIOD
Q1059186,SPORT_TEAM
Q1059324,INSTALLATION
Q1059399,SPORT_TEAM
Q1059415,SPORT_TEAM
Q1059430,SPORT_TEAM
Q1059904,SPORT_TEAM
Q1059995,PERIOD
Q1060,INSTITUTION
Q106010,PERIOD
Q10601542,BUSINESS
Q106039,PERSON_TYPE
Q1060646,PERSON_TYPE
Q10608204,ARTIFACT
Q1061,LOCATION
Q1061180,MEASURE
Q1061510,PERSON_TYPE
Q1061750,PERIOD
Q1062,LOCATION
Q10624502,TITLE
Q1062471,CONCEPT
Q1063123,CONCEPT
Q106394,SPORT_TEAM
Q1064,PERSON
Q1064106,TITLE
Q106416,PERSON_TYPE
Q1064589,TITLE
Q1064606,TITLE
Q10647,ORGANISATION
Q10648298,ARTIFACT
Q1065,ORGANISATION
Q10658,ORGANISATION
Q106599,PERSON_TYPE
Q1066,LOCATION
Q1066224,CONCEPT
Q10664,PERSON
Q106652,LOCATION
Q1067,PERSON
Q1067053,ORGANISATION
Q1067477,LOCATION
Q1068,LOCATION
Q106825,LOCATION
Q106848,LOCATION
Q1068504,INSTALLATION
Q1068933,TITLE
Q10691,ORGANISATION
Q1069127,PERSON_TYPE
Q106974,PERSON_TYPE
Q106991,PERSON_TYPE
Q1070,LOCATION
Q1070042,INSTITUTION
Q1070437,PERIOD
Q1070487,ORGANISATION
Q1070546,MEDIA
Q1070732,SPORT_TEAM
Q1071117,TITLE
Q10713,CONCEPT
Q1071690,TITLE
Q1071691,SPORT_TEAM
Q1071967,BUSINESS
Q1072283,TITLE
Q1072285,TITLE
Q1072298,TITLE
Q1072300,TITLE
Q1072304,TITLE
Q1072318,TITLE
Q1072325,TITLE
Q1072339,TITLE
Q1072357,TITLE
Q1072360,TITLE
