WikidataID,LabelWikidata,Class
Q100,Boston,LOCATION
Q1000,Gabon,LOCATION
Q1001,Mahatma Gandhi,PERSON
Q1001935,,UNKNOWN
Q1002,Chukchi Peninsula,LOCATION
Q1005,The Gambia,LOCATION
Q1006,Guinea,LOCATION
Q1007,Guinea-Bissau,LOCATION
Q100749,Clemens Fuest,PERSON
Q1008,,LOCATION
Q1009,,LOCATION
Q1009235,,UNKNOWN
Q1009458,,UNKNOWN
Q1010,,LOCATION
Q1010199,,UNKNOWN
Q1010263,,UNKNOWN
Q1011,Cape Verde,LOCATION
Q1012,Celje,LOCATION
Q1013,Lesotho,LOCATION
Q1013528,,UNKNOWN
Q1014,,LOCATION
Q1015,Koper,LOCATION
Q1015639,,UNKNOWN
Q1016,,LOCATION
Q1017,Aachen,LOCATION
Q10179,Zulu language,CONCEPT
Q1018,Nova Gorica,LOCATION
Q10188,Zuni language,CONCEPT
Q1019,Madagascar,LOCATION
Q10195,Zay language,CONCEPT
Q10199,Zaza language,CONCEPT
Q1020,Malawi,LOCATION
Q1020589,,UNKNOWN
Q10206,Záparo language,CONCEPT
Q1021,Kranj,LOCATION
Q1021091,,UNKNOWN
Q102113,,EVENT
Q1022,Stuttgart,LOCATION
Q1022481,,UNKNOWN
Q10225,,ORGANISATION
Q1023,,PERSON
Q1023185,,UNKNOWN
Q1023235,,UNKNOWN
Q1023532,,UNKNOWN
Q1024,Triglav,LOCATION
Q1025,Mauritania,LOCATION
Q1026,,PERSON_TYPE
Q1026100,,UNKNOWN
Q1027,,LOCATION
Q1028,,LOCATION
Q1029,Mozambique,LOCATION
Q103,Supercalifragilisticexpialidocious,CREATION
Q1030,Namibia,LOCATION
Q1031928,,UNKNOWN
Q1032,Niger,LOCATION
Q1032264,,UNKNOWN
Q103251,,LOCATION
Q1033,Nigeria,LOCATION
Q10333,,INSTITUTION
Q1034,Biel/Bienne,LOCATION
Q1034556,,UNKNOWN
Q1035,Charles Darwin,PERSON
Q1036,Uganda,LOCATION
Q1037,,LOCATION
Q1038,Zirconium,SUBSTANCE
Q1040,Karlsruhe,LOCATION
Q104063,,LOCATION
Q104095,,LOCATION
Q1041,,LOCATION
Q10411663,,UNKNOWN
Q104197,,UNKNOWN
Q1042,Seychelles,LOCATION
Q1043,Carl Linnaeus,PERSON
Q1044,Sierra Leone,LOCATION
Q1045,Somalia,LOCATION
Q1046,Niobium,SUBSTANCE
Q1046939,,UNKNOWN
Q1047,Jawaharlal Nehru,PERSON
Q1048,Julius Caesar,PERSON
Q1048696,,UNKNOWN
Q1049,,LOCATION
Q105,Monday,PERIOD
Q1050,Swaziland,LOCATION
Q1051,Ivan Regen,PERSON
Q105112,,ORGANISATION
Q1052781,,UNKNOWN
Q1053,Molybdenum,SUBSTANCE
Q1053299,,UNKNOWN
Q105338,Geert Wilders,PERSON
Q1053668,,UNKNOWN
Q1053734,,UNKNOWN
Q1054,Technetium,SUBSTANCE
Q1055,Hamburg,LOCATION
Q1056,Italo Balbo,PERSON
Q1058,Narendra Modi,PERSON
Q105861,,SPORT_TEAM
Q1059047,,UNKNOWN
Q1059186,,UNKNOWN
Q1059324,,UNKNOWN
Q1059399,,UNKNOWN
Q1059415,,UNKNOWN
Q1059430,,UNKNOWN
Q1059904,,UNKNOWN
Q1060,Hamburg University of Technology,INSTITUTION
Q10601542,,UNKNOWN
Q1061,Gujarat,LOCATION
Q1061510,,UNKNOWN
Q1062,Lake Ontario,LOCATION
Q106394,,SPORT_TEAM
Q1064,Alessandro Manzoni,PERSON
Q1066,Lake Superior,LOCATION
Q106652,,LOCATION
Q1066703,,UNKNOWN
Q1067,Dante Alighieri,PERSON
Q1067477,,UNKNOWN
Q1068,Wilhelmsburg_ Hamburg,LOCATION
Q106825,,UNKNOWN
Q106848,,LOCATION
Q1068504,,UNKNOWN
Q1070,Ahmedabad,LOCATION
Q1070042,,UNKNOWN
Q1070732,,UNKNOWN
Q10713,Luwian language,CONCEPT
Q1071691,,UNKNOWN
Q1071967,,UNKNOWN
Q107401,,LOCATION
Q1074167,,UNKNOWN
Q1074573,,UNKNOWN
Q1077,Star Trek: The Original Series,CREATION
Q1077481,,UNKNOWN
Q1077498,,UNKNOWN
Q1078084,,UNKNOWN
Q1079,Breaking Bad,CREATION
Q1079231,,UNKNOWN
Q108,January,PERIOD
Q108072,,LOCATION
Q1081,Julio Bashmore,PERSON
Q108101,,LOCATION
Q1081144,,UNKNOWN
Q108127,,LOCATION
Q1083,Salerno,LOCATION
Q1083043,,UNKNOWN
Q1084121,,UNKNOWN
Q1084137,,UNKNOWN
Q1085,Prague,LOCATION
Q10859501,,UNKNOWN
Q1086,Ruthenium,SUBSTANCE
Q10862670,,ANIMAL
Q10862680,,ANIMAL
Q1087,Rhodium,SUBSTANCE
Q1089,Palladium,SUBSTANCE
Q109,February,PERIOD
Q1090,Silver,SUBSTANCE
Q109021,,LOCATION
Q1090661,,UNKNOWN
Q1091,Cadmium,SUBSTANCE
Q1093,Limburg (Netherlands),LOCATION
Q1094,Indium,SUBSTANCE
Q1094444,,UNKNOWN
Q109499,,LOCATION
Q1095,Limburg (Belgium),LOCATION
Q1096,Tin,SUBSTANCE
Q1097,Berlin Hauptbahnhof,INSTALLATION
Q1098,Uranium,SUBSTANCE
Q1099,Antimony,SUBSTANCE
Q110,March,PERIOD
Q1100,Tellurium,SUBSTANCE
Q11004140,,UNKNOWN
Q1101,North Brabant,LOCATION
Q1102,Plutonium,SUBSTANCE
Q1102695,,UNKNOWN
Q1103,Iodine,SUBSTANCE
Q1103168,,UNKNOWN
Q1103684,,UNKNOWN
Q1104,Hemer,LOCATION
Q1105,Neptunium,SUBSTANCE
Q11051,Hindustani language,CONCEPT
Q11059,Sanskrit,CONCEPT
Q1106,Xenon,SUBSTANCE
Q1108,Caesium,SUBSTANCE
Q1109,Protactinium,SUBSTANCE
Q1109698,,UNKNOWN
Q111,Mars,LOCATION
Q1112,Barium,SUBSTANCE
Q1113,West Flanders,LOCATION
Q1113335,,UNKNOWN
Q1114,East Flanders,LOCATION
Q11146,Maastricht Treaty,LEGAL
Q1115,Thorium,SUBSTANCE
Q1116,Antwerp (province),LOCATION
Q1118,Flemish Brabant,LOCATION
Q111840,Carwyn Jones,PERSON
Q1119,Hafnium,SUBSTANCE
Q1119406,,UNKNOWN
Q112,Mars (mythology),PERSON
Q11201,,INSTALLATION
Q112014,,INSTITUTION
Q1120844,,UNKNOWN
Q11209,,INSTITUTION
Q1121,Actinium,SUBSTANCE
Q11218,,INSTALLATION
Q1122,Walloon Brabant,LOCATION
Q11223,,INSTALLATION
Q112243,,AWARD
Q1123,Tantalum,SUBSTANCE
Q1124,,PERSON
Q1124951,,UNKNOWN
Q1125,Namur (province),LOCATION
Q1125638,,UNKNOWN
Q1125930,,UNKNOWN
Q1126,Luxembourg (Belgium),LOCATION
Q1126244,,UNKNOWN
Q11268,,ORGANISATION
Q112790,,LOCATION
Q1128,Radium,SUBSTANCE
Q1128054,,UNKNOWN
Q1128775,,UNKNOWN
Q1128816,,UNKNOWN
Q1129,Hainaut (province),LOCATION
Q1130,Iserlohn,LOCATION
Q113000,,SPORT_TEAM
