WikidataID,LabelWikidata,Class
Q14966244,,OTHER
Q34166026,Rachmaninov and Marfan's syndrome,OTHER
Q16664826,Moana Ferré,PERSON
Q6798947,Mazraeh-ye Sheikh Abu Al Hasan,LOCATION
Q32165856,,LOCATION
Q12167346,,PERSON
Q18323227,,OTHER
Q25025139,1887 in Wyoming Territory,OTHER
Q33999880,Restrictive cardiomyopathy and constrictive pericarditis: non-invasive distinction by digitised M mode echocardiography,OTHER
Q19145003,,OTHER
Q25550218,,OTHER
Q3057471,Eurema smilax,ANIMAL
Q21093716,,OTHER
Q8873872,Trujillo Alto; Puerto Rico,OTHER
Q18652930,,OTHER
Q21291879,Dutch monthly magazines,OTHER
Q15333571,Hellenic Open University faculty,OTHER
Q24483416,,OTHER
Q19289097,Kandeelstraat,LOCATION
Q5421921,Extensible Embeddable Language,ARTIFACT
Q32511687,,OTHER
Q11424916,,OTHER
Q28028055,,ANIMAL
Q4965389,Brian Stephney,PERSON
Q29585802,,OTHER
Q28837108,,LOCATION
Q22353688,,LOCATION
Q19421050,,LOCATION
Q28222966,,OTHER
Q31108225,Recovery of data from perfectly twinned virus crystals revisited,CREATION
Q27290878,,LOCATION
Q21640745,,LOCATION
Q1827454,Je≈Çmu≈Ñ,LOCATION
Q6800129,McCalmont Township; Jefferson County; Pennsylvania,LOCATION
Q12201170,,OTHER
Q5244220,De Alvear,OTHER
Q24582919,,OTHER
Q27028205,Kheralu Taluka,LOCATION
Q1079396,Christian Ehrig,PERSON
Q13394107,Argyroploce percnochlaena,ANIMAL
Q21142329,,OTHER
Q31796634,,OTHER
Q3445694,Roxanne McKee,PERSON
Q29205287,paten located in Eure_ in France,OTHER
Q8370141,Churches in Newfoundland and Labrador,OTHER
Q2276742,Spike (Buffy the Vampire Slayer),PERSON
Q24930522,,OTHER
Q11910172,,LOCATION
Q3825552,,LOCATION
Q906151,Kawa no Nagare no Y≈ç ni,CREATION
Q10730255,,OTHER
Q6769608,Mark Schaeffer,PERSON
Q17484731,,OTHER
Q23328722,hypothetical protein CPn0774,OTHER
Q29494897,Pant,INSTALLATION
Q11260696,2008 ƒ∞stanbul Cup ‚Äì Singles,EVENT
Q7032280,Nigel Callaghan,PERSON
Q3858562,2010‚Äì11 Minnesota Timberwolves season,EVENT
Q9282125,Grzegorz Szerszenowicz,PERSON
Q16482875,,EVENT
Q26032974,,OTHER
Q11019115,,OTHER
Q34933456,Vodokhranilishche Gidrouzla Araks,LOCATION
Q4999812,Burning Annie,CREATION
Q9474907,,OTHER
Q27203923,N-[(1R_3S_4aR_9aS)-3-[2-[(4-chlorophenyl)methylamino]-2-oxoethyl]-1-(hydroxymethyl)-3_4_4a_9a-tetrahydro-1H-pyrano[3_4-b]benzofuran-6-yl]-1_3-benzodioxole-5-carboxamide,SUBSTANCE
Q32631615,,OTHER
Q23424171,Permease YE3053,OTHER
Q12647441,Aldona Beganskienė,PERSON
Q14563339,Melanochaeta nigripalpis,ANIMAL
Q20213219,,LOCATION
Q1251019,,LOCATION
Q12664347,,LOCATION
Q30654477,,OTHER
Q24583317,EPB41L4A,SUBSTANCE
Q21510827,,OTHER
Q20214481,,LOCATION
Q20362463,,OTHER
Q5408190,Eugenia tecta,ANIMAL
Q825571,Bernhard Ludolph Kanne,PERSON
Q30637603,World Association of Wrestling,OTHER
Q8077184,Åraksbø ,LOCATION
Q29381437,,INSTALLATION
Q15021850,,OTHER
