WikidataID,LabelWikidata,Class
Q1004,Comics,UNKNOWN
Q101,Lopadotemachoselachogaleokranioleipsanodrimhypotrimmatosilphioparaomelitokatakechymenokichlepikossyphophattoperisteralektryonoptekephalliokigklopeleiolagoiosiraiobaphetraganopterygon,UNKNOWN
Q102,Pneumonoultramicroscopicsilicovolcanoconiosis,UNKNOWN
Q1052,Rainbow,UNKNOWN
Q1057,Metabolism,UNKNOWN
Q1059,Immune system,UNKNOWN
Q1063,Evolution,UNKNOWN
Q1069,Geology,UNKNOWN
Q107,Space,UNKNOWN
Q1071,Geography,UNKNOWN
Q1072,Heart,UNKNOWN
Q1073,Brain,UNKNOWN
Q1074,Skin,UNKNOWN
Q1075,Color,UNKNOWN
Q1076,Lawson (band),UNKNOWN
Q1078,Birds of Tokyo,UNKNOWN
Q1084,Noun,UNKNOWN
Q1088,Blue,UNKNOWN
Q1092,Star Trek,UNKNOWN
Q1110,United Federation of Planets,UNKNOWN
Q1111,Electric charge,UNKNOWN
Q1120,Nice model,UNKNOWN
Q113,Schulze method,UNKNOWN
Q1150,Mercury (mythology),UNKNOWN
Q116,Monarch,UNKNOWN
Q1161,Limburg,UNKNOWN
Q1213,Salentino dialect,UNKNOWN
Q1215,Straight edge,UNKNOWN
Q1269,Fruit preserves,UNKNOWN
Q1287,Jansenism,UNKNOWN
Q1293,Draughts,UNKNOWN
Q1299,The Beatles,UNKNOWN
Q13,Triskaidekaphobia,UNKNOWN
Q1315,Equinox,UNKNOWN
Q133,Mixed-member proportional representation,UNKNOWN
Q1337,Leet,UNKNOWN
Q134,Bishop (chess),UNKNOWN
Q1349,HC Lada Togliatti,UNKNOWN
Q135,Pawn (chess),UNKNOWN
Q1351,Edgar (opera),UNKNOWN
Q136,Knight (chess),UNKNOWN
Q1364,Fruit,UNKNOWN
Q1368,Money,UNKNOWN
Q137,Rook (chess),UNKNOWN
Q1375,Dungeons & Dragons,UNKNOWN
Q138,King (chess),UNKNOWN
Q139,Queen (chess),UNKNOWN
Q1406,Microsoft Windows,UNKNOWN
Q141,Timbits,UNKNOWN
Q1420,Car,UNKNOWN
Q143,Esperanto,UNKNOWN
Q1431,KDE,UNKNOWN
Q1441,Wanfried agreement,UNKNOWN
Q1444,Organ (music),UNKNOWN
Q1448,Hillbilly,UNKNOWN
Q1455,Field hockey,UNKNOWN
Q147,Kitten,UNKNOWN
Q1472,Crohn's disease,UNKNOWN
Q1477,Ulcerative colitis,UNKNOWN
Q1483,Craniopagus parasiticus,UNKNOWN
Q1485,Systemic lupus erythematosus,UNKNOWN
Q1487,Hacker,UNKNOWN
Q149,Nyan Cat,UNKNOWN
Q1501,Swimming pool,UNKNOWN
Q151,Wiktionary,UNKNOWN
Q1525,Roundabout,UNKNOWN
Q1529,Traffic circle,UNKNOWN
Q1536,Coordinated Universal Time,UNKNOWN
Q154,Alcoholic drink,UNKNOWN
Q156,Alcohol,UNKNOWN
Q1566,Tobacco,UNKNOWN
Q1574,Avast Antivirus,UNKNOWN
Q1575,Internet Explorer,UNKNOWN
Q1576,Cigar,UNKNOWN
Q1578,Cigarette,UNKNOWN
Q1586,Waltershof,UNKNOWN
Q161,Fiber,UNKNOWN
Q162,Optical fiber,UNKNOWN
Q164,Square,UNKNOWN
Q165,Sea,UNKNOWN
Q1661,Verse (poetry),UNKNOWN
Q167,Pi,UNKNOWN
Q168,Pi (letter),UNKNOWN
Q169,Mango,UNKNOWN
Q170,Pirate Parties International,UNKNOWN
Q171,Wiki,UNKNOWN
Q1713,Citation,UNKNOWN
Q1734,Volleyball,UNKNOWN
Q177,Pizza,UNKNOWN
Q1772,Epitaph,UNKNOWN
Q178,Pasta,UNKNOWN
Q1811,Astronomical unit,UNKNOWN
Q182,English,UNKNOWN
Q1827,Red wine,UNKNOWN
Q1834,Death Note,UNKNOWN
Q1847,Togliatti surface,UNKNOWN
Q1852,X-ray astronomy,UNKNOWN
Q1859,True Jesus Church,UNKNOWN
Q1871,Diplomacy (game),UNKNOWN
Q1889,Diplomacy,UNKNOWN
Q19,Cheating,UNKNOWN
Q190,God,UNKNOWN
Q1932,Space Race,UNKNOWN
Q1941,Atmosphere of Venus,UNKNOWN
Q195,Chocolate,UNKNOWN
Q196,Cherry,UNKNOWN
Q1968,Formula One,UNKNOWN
Q197,Airplane,UNKNOWN
Q198,War,UNKNOWN
Q199,1,UNKNOWN
Q200,2,UNKNOWN
Q201,3,UNKNOWN
Q2012,Maya calendar,UNKNOWN
Q2013,Wikidata,UNKNOWN
Q202,4,UNKNOWN
Q2020,Dragon Ball,UNKNOWN
Q2027,Linux Mint,UNKNOWN
Q2029,History of Lyon,UNKNOWN
Q203,5,UNKNOWN
Q2033,Notepad++,UNKNOWN
Q204,0,UNKNOWN
Q205,Infinity,UNKNOWN
Q2053,HTML5,UNKNOWN
Q2063,JSON,UNKNOWN
Q2078,Scalable Vector Graphics,UNKNOWN
Q208,Rakfisk,UNKNOWN
Q209,Rectangle,UNKNOWN
Q2093,Document Object Model,UNKNOWN
Q2095,Food,UNKNOWN
Q210,Right angle,UNKNOWN
Q2101,Elementary charge,UNKNOWN
Q2111,Speed of light,UNKNOWN
Q2115,XML,UNKNOWN
Q2117,Canada AM,UNKNOWN
Q2122,Oral sex,UNKNOWN
Q2130,Favicon,UNKNOWN
Q2134,LOL,UNKNOWN
Q2146,UTC−12:00,UNKNOWN
Q2154,UTC−11:00,UNKNOWN
Q2159,UTC−10:30,UNKNOWN
Q2163,UTC−10:00,UNKNOWN
Q2171,UTC−09:30,UNKNOWN
Q2182,QRpedia,UNKNOWN
Q2183,UTC−09:00,UNKNOWN
Q2192,GIF,UNKNOWN
Q2194,Windows Media Audio,UNKNOWN
Q2195,JPEG,UNKNOWN
Q2197,Romulus and Remus,UNKNOWN
Q2198,UTC−08:30,UNKNOWN
Q2204,UTC−08:00,UNKNOWN
Q2212,UTC−07:00,UNKNOWN
Q2269,Industrial Revolution,UNKNOWN
Q2305,Franklin's lost expedition,UNKNOWN
Q2306,Pink Floyd,UNKNOWN
