WikidataID,LabelWikidata,Class
Q2001,Stanley Kubrick,PERSON
Q2002,2015,PERIOD
Q2003,Newfoundland and Labrador,LOCATION
Q2004,2008,PERIOD
Q2005,JavaScript,ARTIFACT
Q2006,Deborah Compagnoni,PERSON
Q2007,Northwest Territories,LOCATION
Q2008,Gare de Lyon-Part-Dieu,INSTALLATION
Q2009,Yukon,LOCATION
Q2010,Eiichiro Oda,PERSON
Q2011,Gare de Lyon-Vaise,INSTALLATION
Q2012,Maya calendar,PERIOD
Q2013,Wikidata,WEBSITE
Q2014,2004,PERIOD
Q2015,Vologda Oblast,LOCATION
Q2016,Gare de Lyon-Saint-Paul,INSTALLATION
Q2017,Wikitravel,WEBSITE
Q2018,Calcio Catania,SPORT_TEAM
Q2019,2005,PERIOD
Q2020,Dragon Ball,ARTIFACT
Q2021,2006,PERIOD
Q2022,Cesare Pavese,PERSON
Q2023,Nunavut,LOCATION
Q2024,2007,PERIOD
Q2025,Carbon monoxide,SUBSTANCE
Q2026,Chambost-Allières,LOCATION
Q2027,Linux Mint,ARTIFACT
Q2028,Verona,LOCATION
Q2029,History of Lyon,ARTIFACT
Q2030,Iqaluit,LOCATION
Q2031,Marc Girardelli,PERSON
Q2032,Luxembourg District,LOCATION
Q2033,Notepad++,ARTIFACT
Q2034,1900,PERIOD
Q2035,1901,PERIOD
Q2036,TER Rhône-Alpes,UNKNOWN
Q2037,A.C. ChievoVerona,SPORT_TEAM
Q2038,François Mitterrand,PERSON
Q2039,Livy,PERSON
Q2040,Giuseppe Farina,PERSON
Q2041,Bridges of Lyon,UNKNOWN
Q2042,Charles de Gaulle,PERSON
Q2043,1902,PERIOD
Q2044,Florence,LOCATION
Q2045,1903,PERIOD
Q2046,1904,PERIOD
Q2047,1905,PERIOD
Q2048,1907,PERIOD
Q2049,1906,PERIOD
Q2050,Gare des Brotteaux,INSTALLATION
Q2051,Jambi,LOCATION
Q2052,ACF Fiorentina,SPORT_TEAM
Q2053,HTML5,ARTIFACT
Q2054,Seneca the Younger,PERSON
Q2056,1908,PERIOD
Q2057,1909,PERIOD
Q2058,Whitehorse_ Yukon,LOCATION
Q2059,Gare de Lyon-Gorge-de-Loup,INSTALLATION
