WikidataID,LabelWikidata,Class
Q10001,Deventer,LOCATION
Q10002,Enschede,LOCATION
Q10003,Haaksbergen,LOCATION
Q10004,,PERSON
Q10005,Hellendoorn,LOCATION
Q10006,Hengelo,LOCATION
Q10007,Zhengde Emperor,PERSON
Q10008,È,OTHER
Q10009,Ê,OTHER
Q10010,Ë,OTHER
Q10011,Jiajing Emperor,PERSON
Q10012,Ã,OTHER
Q10013,Hardenberg,LOCATION
Q10014,Kampen; Overijssel,LOCATION
Q10015,Losser,LOCATION
Q10016,Oldenzaal,LOCATION
Q10017,Olst-Wijhe,LOCATION
Q10018,Ommen,LOCATION
Q10019,Raalte,LOCATION
Q10020,Rijssen-Holten,LOCATION
Q10021,Staphorst,LOCATION
Q10022,Steenwijkerland,LOCATION
Q10023,Tubbergen,LOCATION
Q10024,Twenterand,LOCATION
Q10025,Wierden,LOCATION
Q10026,Zwartewaterland,LOCATION
Q10027,Baarn,LOCATION
Q10028,Cybaeidae,ANIMAL
Q10029,Phi,OTHER
Q10030,Cycloctenidae,ANIMAL
Q10031,Wafer trapdoor spider,ANIMAL
Q10032,Bunnik,LOCATION
Q10033,Deinopidae,ANIMAL
Q10034,Bunschoten,LOCATION
Q10035,De Bilt,LOCATION
Q10036,De Ronde Venen,LOCATION
Q10037,Eemnes,LOCATION
Q10038,Intertidal spider,ANIMAL
Q10039,Renswoude,LOCATION
Q10040,Rhenen,LOCATION
Q10041,Soest; Netherlands,LOCATION
Q10042,Stichtse Vecht,LOCATION
Q10043,Utrechtse Heuvelrug,LOCATION
Q10044,Houten,LOCATION
Q10045,IJsselstein,LOCATION
Q10046,Leusden,LOCATION
Q10047,Lopik,LOCATION
Q10048,Montfoort,LOCATION
Q10049,Dictynidae,ANIMAL
Q10050,Nieuwegein,LOCATION
Q10051,Oudewater,LOCATION
Q10052,Vianen,LOCATION
Q10053,Wijk bij Duurstede,LOCATION
Q10054,Coneweb spider,ANIMAL
Q10055,Woudenberg,LOCATION
Q10056,Zeist,LOCATION
Q10057,Dipluridae,ANIMAL
Q10058,Justine Smethurst,PERSON
Q10059,Longqing Emperor,PERSON
Q10060,,ANIMAL
Q10061,Wanli Emperor,PERSON
Q10062,Laura Berg,PERSON
Q10063,Dysderidae,ANIMAL
Q10064,,LOCATION
Q10065,Taichang Emperor,PERSON
Q10066,Tianqi Emperor,PERSON
Q10067,Velvet spider,ANIMAL
Q10068,Lindsey Vonn,PERSON
Q10069,Chongzhen Emperor,PERSON
Q10070,Jacob Appelbaum,PERSON
Q10071,Borsele,LOCATION
Q10072,,LOCATION
Q10073,Hulst,LOCATION
Q10074,,LOCATION
Q10075,List of emperors of the Ming dynasty,OTHER
Q10076,,LOCATION
Q10077,Noord-Beveland,LOCATION
Q10078,Reimerswaal (municipality),LOCATION
Q10079,Schouwen-Duiveland,LOCATION
Q10080,Sluis,LOCATION
Q10081,Terneuzen,LOCATION
Q10082,Tholen,LOCATION
Q10083,Veere,LOCATION
Q10084,Vlissingen,LOCATION
Q10085,Tina Maze,PERSON
Q10086,Mysore,LOCATION
Q10087,,OTHER
Q10088,Tipu Sultan,PERSON
Q10089,Julia Mancuso,PERSON
Q10090,Hindu,OTHER
Q10091,Janica Kostelić,PERSON
Q10092,Maria Höfl-Riesch,PERSON
Q10093,Viktoria Rebensburg,PERSON
Q10094,Nilgiri mountains,OTHER
Q10095,Annelise Coberger,PERSON
Q10096,Anambas Islands,LOCATION
Q10097,Bintan Regency,LOCATION
Q10098,Karimun Regency,LOCATION
Q10099,Lingga Islands,LOCATION
Q10100,Natuna Islands,LOCATION
Q10101,Picabo Street,PERSON
Q10102,,
Q10103,Batam,LOCATION
Q10104,Tanjung Pinang,LOCATION
Q10105,Amy Williams,PERSON
Q10106,Kerstin Szymkowiak,PERSON
Q10107,Thousand Islands (Indonesia),LOCATION
Q10108,Anja Huber,PERSON
Q10109,Central Jakarta,LOCATION
Q10110,Shelley Rudman,PERSON
Q10111,East Jakarta,LOCATION
Q10112,Edith Hannam,PERSON
Q10113,North Jakarta,LOCATION
Q10114,South Jakarta,LOCATION
Q10115,Helen Aitchison,PERSON
Q10116,West Jakarta,LOCATION
Q10117,Alice Greene,PERSON
Q10118,Victoria Azarenka,PERSON
Q10119,Lebak Regency,LOCATION
Q10120,Laura Robson,PERSON
Q10121,Pandeglang Regency,LOCATION
Q10122,Serang Regency,LOCATION
Q10123,Tangerang Regency,LOCATION
Q10124,Cilegon,LOCATION
Q10125,Andy Murray,PERSON
Q10126,Serang,LOCATION
Q10127,Tangerang,LOCATION
Q10128,South Tangerang,LOCATION
Q10129,Lisa Raymond,PERSON
Q10130,Operation Harpoon (1942),EVENT
Q10131,Francisco Varallo,PERSON
Q10132,Rafael Nadal,PERSON
Q10133,Suetonius,PERSON
Q10134,Klingon language,OTHER
Q10135,LibreOffice,ARTIFACT
Q10136,Centre Tola Vologe,OTHER
Q10137,,INSTALLATION
Q10138,Cité Scolaire Internationale de Lyon,INSTITUTION
Q10139,Rue des Capucins,LOCATION
Q10140,Conservatoire national supérieur de musique et de danse de Lyon,INSTALLATION
Q10141,Cour des Voraces,INSTALLATION
Q10142,Cours Charlemagne,LOCATION
Q10143,Abode of Chaos,INSTALLATION
Q10144,Fontaine Bartholdi,CREATION
Q10145,Milestone,OTHER
Q10146,Eurovision Song Contest 2002,EVENT
Q10147,,LOCATION
Q10148,Eurovision Song Contest 2003,EVENT
