WikidataID,LabelWikidata,Class
Q10214957,,null
Q2583228,1991 Wimbledon Open Badminton Championships,EVENT
Q23073680,David Parker (Mississippi politician),PERSON
Q28004607,,null
Q2927756,Buick; British Columbia,LOCATION
Q29806144,Calnexin CELE_ZK632.6,SUBSTANCE
Q11653418,,OTHER
Q31309816,,OTHER
Q11359776,,LOCATION
Q28859991,,ARTIFACT
Q4780200,Apogee Electronics,BUSINESS
Q33882390,,OTHER
Q7777537,Theatre of the Ridiculous,OTHER
Q29519287,,SUBSTANCE
Q13336234,,null
Q17672194,Pair of bowl barrows on Amberley Mount. 760m north east of Downs Farm,INSTALLATION
Q13632738,,null
Q4048914,All Terrain Mobility Platform,OTHER
Q23243417,ATP synthase F0F1 subunit epsilon BPSL3395,SUBSTANCE
Q12250379,,OTHER
Q29902006,,INSTALLATION
Q31822860,,LOCATION
Q33898904,,OTHER
Q8337259,Cameroon–Russia relations,OTHER
Q26470959,L-Shaped Outbuilding Approximately 10 Metres South East Of White House,LOCATION
Q3166744,Jean-Louis Dufau,PERSON
Q14421657,,LOCATION
Q32323378,,OTHER
Q2221729,,null
Q499502,Andreas Mehringer,PERSON
Q24098444,Hypothetical protein XCC1985,OTHER
Q25026578,Rainier Beach; Seattle,OTHER
Q6049285,,CREATION
Q27965745,route de Paris,LOCATION
Q30442246,Update on Clostridium difficile associated disease,OTHER
Q23051930,Four new species of Lockhartia (Orchidaceae, Oncidiinae),OTHER
Q10631749,Pilophorus cembroides,ANIMAL
Q20052623,Category:BC Kondrashin Belov players,OTHER
Q8285023,BC Kondrashin Belov players,OTHER
Q18979110,Burgemeester Meesstraat,LOCATION
Q56168,Timucua,ORGANISATION
Q178557,,null
Q34591148,High plasma levels of HLA-G are associated with low birth weight and with an increased risk of malaria in infancy,OTHER
Q4350875,Hillsboro; Tennessee,LOCATION
Q10471090,Dicheirinia trispora,OTHER
Q12870877,,OTHER
Q32598085,,null
Q34181012,Ocular morbidity associated with airbag deployment: a report of seven cases and a review of the literature,OTHER
Q22906120,A Brighter Summer Day (album),CREATION
Q23467049,Hypothetical protein Rru_A2559,SUBSTANCE
Q9192500,,OTHER
Q6373566,Kartilabad,LOCATION
Q7580563,Spring Hill; New South Wales (Orange),LOCATION
Q27391845,,null
Q13486977,Lycaena aster,ANIMAL
Q6786900,Mathematics and the Imagination,CREATION
Q29890395,,LOCATION
Q9017588,,OTHER
Q14856601,Verhoeffiella cavicola,ANIMAL
Q15873986,Comala,OTHER
Q2543678,Huize Padua,LOCATION
Q21498375,Early growth response 4,SUBSTANCE
Q10466842,Dares murudensis,ANIMAL
Q1251212,,OTHER
Q1348784,426 BC Malian Gulf tsunami,OTHER
Q18126717,Kendriya Vidyalaya Bamrauli,LOCATION
Q21882566,West Bluff,LOCATION
Q12752642,Template:Tobu Isesaki Line,OTHER
Q18118805,,PERSON
Q9489953,,OTHER
Q4746467,Aminoquinoline,OTHER
Q2249314,Economy of Brunei,OTHER
Q6023871,Birol Erdem,PERSON
Q8777776,Populated places in Douglas County; Illinois,OTHER
Q20649420,The Lone Wolf (1924 film),CREATION
Q27327851,,null
Q29720146,CG9766,SUBSTANCE
Q30861104,Songs written by Paulo Miklos,OTHER
Q406982,,OTHER
Q30151098,The American Academy of Orthopaedic Surgeons/Society of Military Orthopaedic Surgeons/Orthopaedic Trauma Associations/Pediatric Orthopaedic Association Disaster Response and Preparedness Course,OTHER
Q28076631,,PERSON
Q27748072,6-phosphogluconate dehydrogenase    MSMEG_0002,SUBSTANCE
Q29586231,,null
Q7143869,Pat ONeill (Gaelic footballer),PERSON
Q7568949,South Windham; Maine,LOCATION
Q28768108,Analysis of the Zebrafish perplexed mutation reveals tissue-specific roles for de novo pyrimidine synthesis during development,OTHER
Q31402209,Sleeping Beauty Ridge,LOCATION
Q22085007,Template:Taxonomy/Anonychomyrma,OTHER
Q10190655,,OTHER
Q5771528,Hiroyuki Moriyama,PERSON
Q4549260,Jacobus van Baars,PERSON
Q13597494,Dromica elegantula,ANIMAL
Q22826278,,OTHER
Q27530245,Denis Radocaj,PERSON
Q15126786,Washington Senators (1912),OTHER
Q13000949,,OTHER
Q5521167,,null
Q8489499,German bassoonists,OTHER
Q16792756,Cycling at the 2002 Asian Games,OTHER
Q25987405,,OTHER
