WikidataID,LabelWikidata,Class
Q1,Universe,LOCATION
Q2,Earth,LOCATION
Q3,Life,UNKNOWN
Q4,Death,UNKNOWN
Q5,Human,UNKNOWN
Q8,Happiness,UNKNOWN
Q13,Triskaidekaphobia,UNKNOWN
Q15,Africa,LOCATION
Q18,South America,LOCATION
Q19,Cheating,UNKNOWN
Q44,Beer,UNKNOWN
Q46,Europe,LOCATION
Q48,Asia,LOCATION
Q49,North America,LOCATION
Q53,Club-Mate,UNKNOWN
Q54,All your base are belong to us,UNKNOWN
Q56,Lolcat,UNKNOWN
Q57,Never Gonna Give You Up,CREATION
Q58,Penis,UNKNOWN
Q68,Computer,UNKNOWN
Q73,Internet Relay Chat,UNKNOWN
Q75,Internet,UNKNOWN
Q81,Carrot,UNKNOWN
Q82,Printer (computing),UNKNOWN
Q83,MediaWiki,UNKNOWN
Q86,Headache,UNKNOWN
Q89,Apple,UNKNOWN
Q94,Android (operating system),UNKNOWN
Q97,Atlantic Ocean,LOCATION
Q98,Pacific Ocean,LOCATION
Q101,Lopadotemachoselachogaleokranioleipsanodrimhypotrimmatosilphioparaomelitokatakechymenokichlepikossyphophattoperisteralektryonoptekephalliokigklopeleiolagoiosiraiobaphetraganopterygon,UNKNOWN
Q102,Pneumonoultramicroscopicsilicovolcanoconiosis,UNKNOWN
Q107,Space,UNKNOWN
Q112,Mars (mythology),PERSON
Q113,Schulze method,UNKNOWN
Q116,Monarch,UNKNOWN
Q133,Mixed-member proportional representation,UNKNOWN
Q134,Bishop (chess),UNKNOWN
Q135,Pawn (chess),UNKNOWN
Q136,Knight (chess),UNKNOWN
Q137,Rook (chess),UNKNOWN
Q138,King (chess),UNKNOWN
Q139,Queen (chess),UNKNOWN
Q141,Timbits,UNKNOWN
Q143,Esperanto,UNKNOWN
Q147,Kitten,UNKNOWN
Q149,Nyan Cat,UNKNOWN
Q150,French language,CONCEPT
Q151,Wiktionary,UNKNOWN
Q154,Alcoholic drink,UNKNOWN
Q156,Alcohol,UNKNOWN
Q161,Fiber,UNKNOWN
Q162,Optical fiber,UNKNOWN
Q164,Square,UNKNOWN
Q165,Sea,UNKNOWN
Q167,Pi,UNKNOWN
Q168,Pi (letter),UNKNOWN
Q169,Mango,UNKNOWN
Q170,Pirate Parties International,UNKNOWN
Q171,Wiki,UNKNOWN
Q177,Pizza,UNKNOWN
Q178,Pasta,UNKNOWN
Q179,Boeing 747,ARTIFACT
Q182,English,UNKNOWN
Q188,German language,CONCEPT
Q190,God,UNKNOWN
Q194,Rings of Saturn,LOCATION
Q195,Chocolate,UNKNOWN
Q196,Cherry,UNKNOWN
Q197,Airplane,UNKNOWN
Q198,War,UNKNOWN
Q199,1,UNKNOWN
Q200,2,UNKNOWN
Q201,3,UNKNOWN
Q202,4,UNKNOWN
Q203,5,UNKNOWN
Q204,0,UNKNOWN
Q205,Infinity,UNKNOWN
Q208,Rakfisk,UNKNOWN
Q209,Rectangle,UNKNOWN
Q210,Right angle,UNKNOWN
Q245,Raspberry Pi,UNKNOWN
Q246,Volkswagen,UNKNOWN
Q247,Volkswagen Golf,UNKNOWN
Q248,Intel,UNKNOWN
Q249,Wireless,UNKNOWN
Q250,Computer keyboard,UNKNOWN
Q253,QWERTY,UNKNOWN
Q256,Turkish language,CONCEPT
Q257,Mandelbrot set,UNKNOWN
Q261,Linkin Park,UNKNOWN
Q263,Wikisource,UNKNOWN
Q274,Ardbeg distillery,UNKNOWN
Q277,Kilchoman distillery,UNKNOWN
Q278,Talisker distillery,UNKNOWN
Q280,Lagavulin distillery,UNKNOWN
Q281,Whisky,UNKNOWN
Q282,Wine,UNKNOWN
Q284,Cognac,UNKNOWN
Q286,Leather,UNKNOWN
Q287,Wood,UNKNOWN
Q288,Tours,UNKNOWN
Q289,Television,UNKNOWN
Q290,Sex,UNKNOWN
Q291,Pornography,UNKNOWN
Q300,Sagas of Icelanders,UNKNOWN
Q305,Corporal punishment,UNKNOWN
Q309,History,UNKNOWN
Q315,Language,UNKNOWN
Q316,Love,UNKNOWN
Q317,Dictatorship,PERIOD
Q321,Milky Way,LOCATION
Q323,Big Bang,UNKNOWN
Q325,Digital dark age,UNKNOWN
Q328,English Wikipedia,UNKNOWN
Q333,Astronomy,UNKNOWN
Q336,Science,UNKNOWN
Q338,Cosmology,UNKNOWN
Q341,Free software,UNKNOWN
Q348,Time capsule,UNKNOWN
Q349,Sport,UNKNOWN
Q356,Google+,UNKNOWN
Q358,National heritage site,UNKNOWN
Q363,World War III,UNKNOWN
Q366,Corruption,UNKNOWN
Q367,Wikibooks,UNKNOWN
Q369,Wikiquote,UNKNOWN
Q371,!!!,UNKNOWN
Q373,Wikivoyage,UNKNOWN
Q374,Vodka,UNKNOWN
Q375,Waffle,UNKNOWN
Q376,Clock,UNKNOWN
Q380,,UNKNOWN
Q381,Ubuntu (operating system),UNKNOWN
Q388,Linux,UNKNOWN
Q394,Metrology,UNKNOWN
Q395,Mathematics,UNKNOWN
Q396,U2,UNKNOWN
Q397,Latin,UNKNOWN
Q401,Cuneiform script,UNKNOWN
Q405,Moon,LOCATION
Q411,Astrobiology,UNKNOWN
Q412,Pioneer plaque,UNKNOWN
Q413,Physics,UNKNOWN
Q415,Silbo Gomero,UNKNOWN
Q416,Disk magazine,UNKNOWN
