WikidataID,LabelWikidata,Class
Q1,Universe,PERIOD
Q2,Earth,PERIOD
Q3,Life,PERIOD
Q4,Death,PERIOD
Q5,Human,PERIOD
Q6,,PERIOD
Q7,,PERIOD
Q8,Happiness,PERIOD
Q9,,PERIOD
Q10,,PERIOD
Q11,,PERIOD
Q12,,PERIOD
Q13,Triskaidekaphobia,PERIOD
Q14,,PERIOD
Q15,Africa,PERIOD
Q18,South America,PERIOD
Q19,Cheating,PERIOD
Q44,Beer,PERIOD
Q46,Europe,PERIOD
Q47,,PERIOD
Q48,Asia,PERIOD
Q49,North America,PERIOD
Q50,,PERIOD
Q53,Club-Mate,PERIOD
Q54,All your base are belong to us,PERIOD
Q56,Lolcat,PERIOD
Q57,Never Gonna Give You Up,PERIOD
Q58,Penis,PERIOD
Q63,,PERIOD
Q68,Computer,PERIOD
Q73,Internet Relay Chat,PERIOD
Q75,Internet,PERIOD
Q81,Carrot,PERIOD
Q82,Printer (computing),PERIOD
Q83,MediaWiki,PERIOD
Q86,Headache,PERIOD
Q89,Apple,PERIOD
Q92,,PERIOD
Q93,,PERIOD
Q94,Android (operating system),PERIOD
Q97,Atlantic Ocean,PERIOD
Q98,Pacific Ocean,PERIOD
Q101,Lopadotemachoselachogaleokranioleipsanodrimhypotrimmatosilphioparaomelitokatakechymenokichlepikossyphophattoperisteralektryonoptekephalliokigklopeleiolagoiosiraiobaphetraganopterygon,PERIOD
Q102,Pneumonoultramicroscopicsilicovolcanoconiosis,PERIOD
Q104,,PERIOD
Q106,,PERIOD
Q107,Space,PERIOD
Q112,Mars (mythology),PERSON
Q113,Schulze method,PERIOD
Q116,Monarch,PERIOD
Q133,Mixed-member proportional representation,PERIOD
Q134,Bishop (chess),PERIOD
Q135,Pawn (chess),PERIOD
Q136,Knight (chess),PERIOD
Q137,Rook (chess),PERIOD
Q138,King (chess),PERIOD
Q139,Queen (chess),PERIOD
Q141,Timbits,PERIOD
Q143,Esperanto,PERIOD
Q147,Kitten,PERIOD
Q149,Nyan Cat,PERIOD
Q150,French language,PERIOD
Q151,Wiktionary,PERIOD
Q154,Alcoholic drink,PERIOD
Q156,Alcohol,PERIOD
Q158,,PERIOD
Q161,Fiber,PERIOD
Q162,Optical fiber,PERIOD
Q164,Square,PERIOD
Q165,Sea,PERIOD
Q167,Pi,PERIOD
Q168,Pi (letter),PERIOD
Q169,Mango,PERIOD
Q170,Pirate Parties International,PERIOD
Q171,Wiki,PERIOD
Q177,Pizza,PERIOD
Q178,Pasta,PERIOD
Q179,Boeing 747,PERIOD
Q182,English,PERIOD
Q188,German language,PERIOD
Q190,God,PERIOD
Q194,Rings of Saturn,PERIOD
Q195,Chocolate,PERIOD
Q196,Cherry,PERIOD
Q197,Airplane,PERIOD
Q198,War,PERIOD
Q199,1,PERIOD
Q200,2,PERIOD
Q201,3,PERIOD
Q202,4,PERIOD
Q203,5,PERIOD
Q204,0,PERIOD
Q205,Infinity,PERIOD
Q208,Rakfisk,PERIOD
Q209,Rectangle,PERIOD
Q210,Right angle,PERIOD
Q245,Raspberry Pi,PERIOD
Q246,Volkswagen,LOCATION
Q247,Volkswagen Golf,PERIOD
Q248,Intel,LOCATION
Q249,Wireless,PERIOD
Q250,Computer keyboard,PERIOD
Q253,QWERTY,PERIOD
Q256,Turkish language,PERIOD
Q257,Mandelbrot set,PERIOD
Q259,,PERIOD
Q261,Linkin Park,PERIOD
Q263,Wikisource,PERIOD
Q274,Ardbeg distillery,LOCATION
Q277,Kilchoman distillery,LOCATION
Q278,Talisker distillery,LOCATION
Q280,Lagavulin distillery,LOCATION
Q281,Whisky,PERIOD
Q282,Wine,PERIOD
Q284,Cognac,PERIOD
Q286,Leather,PERIOD
Q287,Wood,PERIOD
Q288,Tours,LOCATION
Q289,Television,PERIOD
Q290,Sex,PERIOD
Q291,Pornography,PERIOD
Q292,,PERIOD
Q295,,PERIOD
Q300,Sagas of Icelanders,PERIOD
Q304,,PERIOD
Q305,Corporal punishment,PERIOD
Q309,History,PERIOD
Q310,,PERIOD
Q314,,PERIOD
Q315,Language,PERIOD
Q316,Love,PERIOD
Q317,Dictatorship,PERIOD
Q321,Milky Way,PERIOD
Q323,Big Bang,PERIOD
Q325,Digital dark age,PERIOD
Q328,English Wikipedia,PERIOD
Q333,Astronomy,PERIOD
Q336,Science,PERIOD
Q338,Cosmology,PERIOD
Q341,Free software,PERIOD
Q348,Time capsule,PERIOD
Q349,Sport,PERIOD
Q356,Google+,PERIOD
Q358,National heritage site,PERIOD
Q363,World War III,PERIOD
Q366,Corruption,PERIOD
Q367,Wikibooks,PERIOD
Q369,Wikiquote,PERIOD
Q371,!!!,PERIOD
Q373,Wikivoyage,PERIOD
Q374,Vodka,PERIOD
Q375,Waffle,PERIOD
Q376,Clock,PERIOD
Q378,,PERIOD
Q380,,LOCATION
Q381,Ubuntu (operating system),PERIOD
Q382,,PERIOD
Q383,,PERIOD
Q386,,PERIOD
Q388,Linux,PERIOD
Q389,,PERIOD
Q390,,PERIOD
Q394,Metrology,PERIOD
Q395,Mathematics,PERIOD
Q396,U2,PERIOD
Q397,Latin,PERIOD
Q401,Cuneiform script,PERIOD
Q404,,PERIOD
Q405,Moon,PERIOD
Q411,Astrobiology,PERIOD
Q412,Pioneer plaque,PERIOD
Q413,Physics,PERIOD
Q415,Silbo Gomero,PERIOD
Q416,Disk magazine,PERIOD
Q417,,PERIOD
Q418,Telecommunication,PERIOD
Q420,Biology,PERIOD
