RawText,WikidataID,Class,PredictedClass,ConfidenceScore
Nazis,Q7310,PERSON_TYPE,,0.0
chiefs,Q1259323,TITLE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
staff,Q6813432,TITLE,,0.0
chiefs,Q1259323,TITLE,,0.0
mayors,Q30185,TITLE,,0.0
assistants,Q223291,TITLE,,0.0
Russia,Q159,LOCATION,,0.0
Suvalk,Q236083,LOCATION,,0.0
area,Q11500,LOCATION,,0.0
Pakruojis,Q1004302,LOCATION,,0.0
local,Q6501447,LOCATION,,0.0
rural,Q175185,LOCATION,,0.0
rural district,Q15125752,LOCATION,,0.0
district,Q149621,LOCATION,,0.0
auxiliary,Q4827277,INSTITUTION,,0.0
auxiliary police,Q626632,INSTITUTION,,0.0
police,Q35535,INSTITUTION,,0.0
Anti,Q21084500,LEGAL,,0.0
Anti-Jewish,Q22649,LEGAL,,0.0
Anti-Jewish legislation,Q4774211,LEGAL,,0.0
Jewish,Q9268,LEGAL,,0.0
legislation,Q49371,LEGAL,,0.0
prewar,Q361,LOCATION,,0.0
Nazi,Q7318,LOCATION,,0.0
Nazi Germany,Q7318,LOCATION,,0.0
Germany,Q183,LOCATION,,0.0
Nazi,Q7318,LOCATION,,0.0
Nazi Germany,Q7318,LOCATION,,0.0
Germany,Q183,LOCATION,,0.0
Nuremberg,Q2090,LEGAL,,0.0
Nuremberg Laws,Q27906,LEGAL,,0.0
Laws,Q752285,LEGAL,,0.0
Haavara,Q661547,LEGAL,,0.0
Haavara Agreement,Q661547,LEGAL,,0.0
Agreement,Q93288,LEGAL,,0.0
Third Reich,Q7318,INSTITUTION,,0.0
Reich,Q7318,INSTITUTION,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
Volksgemeinschaft,Q457031,CONCEPT,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
national,Q3624078,PERSON_TYPE,,0.0
comrades,Q632316,PERSON_TYPE,,0.0
Volksgemeinschaft,Q457031,CONCEPT,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Romani,Q8060,PERSON_TYPE,,0.0
Marxists,Q7264,PERSON_TYPE,,0.0
liberals,Q6216,PERSON_TYPE,,0.0
Christians,Q106039,PERSON_TYPE,,0.0
reactionaries,Q192957,PERSON_TYPE,,0.0
National,Q204716,PERSON_TYPE,,0.0
Comrades,Q5157667,PERSON_TYPE,,0.0
homosexuals,Q6636,PERSON_TYPE,,0.0
National,Q204716,PERSON_TYPE,,0.0
Comrades,Q5157667,PERSON_TYPE,,0.0
Volksgemeinschaft,Q457031,CONCEPT,,0.0
Jewish,Q7325,PERSON_TYPE,,0.0
British,Q145,INSTITUTION,,0.0
British police,Q1527859,INSTITUTION,,0.0
police,Q35535,INSTITUTION,,0.0
Croydon,Q2213391,LOCATION,,0.0
Croydon airport,Q1431914,LOCATION,,0.0
airport,Q1248784,LOCATION,,0.0
March,Q173177,PERIOD,,0.0
March 1939,Q3294896,PERIOD,,0.0
Warsaw,Q270,LOCATION,,0.0
Jews,Q7325,PERSON_TYPE,,0.0
Volksgemeinschaft,Q457031,CONCEPT,,0.0
German,Q183,NATIONAL,,0.0
Detlev,Q5265749,PERSON,,0.0
Detlev Peukert,Q92524,PERSON,,0.0
Peukert,Q1715289,PERSON,,0.0
National,Q204716,PERSON_TYPE,,0.0
National Socialists,Q7310,PERSON_TYPE,,0.0
Socialists,Q7272,PERSON_TYPE,,0.0
Volksgemeinschaft,Q457031,CONCEPT,,0.0
Peukert,Q1715289,PERSON,,0.0
Treatment,Q179661,LEGAL,,0.0
Community,Q728553,LEGAL,,0.0
Aliens,Q104814,LEGAL,,0.0
1944,Q5268,PERIOD,,0.0
Nazi,Q7310,PERSON_TYPE,,0.0
March,Q173177,EVENT,,0.0
March 1933,Q3294890,EVENT,,0.0
Reichstag,Q637829,EVENT,,0.0
Reichstag elections,Q29337,EVENT,,0.0
elections,Q40231,EVENT,,0.0
Nazis,Q7310,PERSON_TYPE,,0.0
Dachau,Q151198,INSTALLATION,,0.0
March,Q173177,PERIOD,,0.0
Communists,Q6186,PERSON_TYPE,,0.0
Social,Q345367,PERSON_TYPE,,0.0
Social Democrats,Q212101,PERSON_TYPE,,0.0
Democrats,Q29552,PERSON_TYPE,,0.0
