WikidataID,LabelWikidata,Class
Q4001,Garbsen,LOCATION
Q4002,,PERIOD
Q4003,,PERIOD
Q4004,Suryanelli,LOCATION
Q4005,Vaa Arugil Vaa,CREATION
Q4006,Map,PERIOD
Q4007,Rosenheim,LOCATION
Q4008,Hongcun,LOCATION
Q4009,Ramesses IX,PERSON
Q4010,Xidi,LOCATION
Q4011,Wesel,LOCATION
Q4012,Paul von Rennenkampf,PERSON
Q4013,Hôtel-Dieu de Lyon,LOCATION
Q4014,,PERSON
Q4015,Reuss (river),LOCATION
Q4016,,LOCATION
Q4017,,PERIOD
Q4018,Navarre,LOCATION
Q4019,Sindelfingen,LOCATION
Q4020,Romang_ Santa Fe,LOCATION
Q4021,Plant anatomy,PERIOD
Q4022,River,PERIOD
Q4023,,PERIOD
Q4024,Frankfurt (Oder),LOCATION
Q4025,Rosearik Rikki Simons,PERSON
Q4026,Ramesses X,PERSON
Q4027,Jean Moulin University Lyon 3,LOCATION
Q4028,Paul Simon,PERSON
Q4029,Tara Strong,PERSON
Q4030,Duke Ellington,PERSON
Q4031,Rüsselsheim am Main,LOCATION
Q4032,Claude Bernard University Lyon 1,LOCATION
Q4033,,PERIOD
Q4034,Wudang Mountains,LOCATION
Q4035,Osasco,LOCATION
Q4036,Richard Steven Horvitz,PERSON
Q4037,Schwäbisch Gmünd,LOCATION
Q4038,Tony Barbieri,PERSON
Q4039,Art Garfunkel,PERSON
Q4040,Aragon,LOCATION
Q4041,Lumière University Lyon 2,LOCATION
Q4042,CeeLo Green,PERSON
Q4043,Fougères,LOCATION
Q4044,Offenburg,LOCATION
Q4045,,LOCATION
Q4046,,PERIOD
Q4047,Lushan Quaternary Glaciation National Geopark,LOCATION
Q4048,Langenfeld_ Rhineland,LOCATION
Q4049,,LOCATION
Q4050,,LOCATION
Q4051,Friedrichshafen,LOCATION
Q4052,,LOCATION
Q4053,,LOCATION
Q4054,Francheville_ Rhône,LOCATION
Q4055,Château de Blois,LOCATION
Q4056,,LOCATION
Q4057,2012 AFC U-19 Championship,PERIOD
Q4058,Kayla Ewell,PERSON
Q4059,Bulutsuzluk Ozlemi,PERIOD
Q4060,Hürth,LOCATION
Q4061,Woody Guthrie,PERSON
Q4062,Hamelin,LOCATION
Q4063,36 BC,PERIOD
Q4064,Ramesses V,PERSON
Q4065,Stralsund,LOCATION
Q4066,20 BC,PERIOD
Q4067,40 BC,PERIOD
Q4068,Stolberg (Rhineland),LOCATION
Q4069,North Cape (Norway),LOCATION
Q4070,Kim Carnes,PERSON
Q4071,,PERIOD
Q4072,Göppingen,LOCATION
Q4073,39 BC,PERIOD
Q4074,Euskirchen,LOCATION
Q4075,Lyon OU,LOCATION
Q4076,Little Sandy Desert,LOCATION
Q4077,Görlitz,LOCATION
Q4078,Cape Horn,LOCATION
Q4079,37 BC,PERIOD
Q4080,,PERIOD
Q4081,LHC Les Lions,PERIOD
