Property,Value
P21,Q6581072
P21,Q6581097
P279,Q1076486
P279,Q11424
P279,Q11471
P279,Q1190554
P279,Q12280
P279,Q1260524
P279,Q144
P279,Q146
P279,Q15078788
P279,Q15275719
P279,Q15324
P279,Q154
P279,Q178559
P279,Q18574946
P279,Q18602249
P279,Q186081
P279,Q186713
P279,Q1914636
P279,Q20136
P279,Q202866
P279,Q2065736
P279,Q212805
P279,Q214609
P279,Q215627
P279,Q223393
P279,Q223642
P279,Q2245442
P279,Q2386606
P279,Q24060707
P279,Q24384
P279,Q2534750
P279,Q2740635
P279,Q27481647
P279,Q285783
P279,Q28968511
P279,Q29517555
P279,Q30017
P279,Q3314483
P279,Q3395171
P279,Q350604
P279,Q35127
P279,Q355304
P279,Q3706669
P279,Q39201
P279,Q39546
P279,Q486972
P279,Q4922985
P279,Q49848
P279,Q52954
P279,Q5500964
P279,Q5861
P279,Q600571
P279,Q622852
P279,Q7239
P279,Q729
P279,Q732577
P279,Q752870
P279,Q7569
P279,Q7725634
P279,Q819073
P279,Q868720
P279,Q878123
P279,Q9081
P279,Q9174
P31,Q101352
P31,Q103495
P31,Q104157
P31,Q1061151
P31,Q1062593
P31,Q107
P31,Q107390
P31,Q10876391
P31,Q11033
P31,Q11086742
P31,Q11173
P31,Q112099
P31,Q1127126
P31,Q11344
P31,Q1138494
P31,Q11424
P31,Q11862829
P31,Q1191549
P31,Q119253
P31,Q1197685
P31,Q121182
P31,Q1221156
P31,Q12284
P31,Q12308941
P31,Q123480
P31,Q12484004
P31,Q125
P31,Q12503
P31,Q126
P31,Q12737077
P31,Q12772052
P31,Q1301371
P31,Q1307214
P31,Q131569
P31,Q131669
P31,Q13390680
P31,Q13406463
P31,Q134390
P31,Q1344
P31,Q13539802
P31,Q1371037
P31,Q1406904
P31,Q142031
P31,Q1429218
P31,Q1437459
P31,Q1438040
P31,Q1440476
P31,Q14788575
P31,Q1479556
P31,Q14795564
P31,Q14827288
P31,Q15056993
P31,Q1506025
P31,Q15063600
P31,Q15099348
P31,Q15105893
P31,Q15149663
P31,Q152018
P31,Q152081
P31,Q1546066
P31,Q1549591
P31,Q15629146
P31,Q15632617
P31,Q15633582
P31,Q157031
P31,Q15725976
P31,Q15830667
P31,Q15836568
P31,Q159675
