@RELATION Training

@ATTRIBUTE P1001 {0,1}
@ATTRIBUTE P1070 {0,1}
@ATTRIBUTE P1086 {0,1}
@ATTRIBUTE P112 {0,1}
@ATTRIBUTE P1128 {0,1}
@ATTRIBUTE P1181 {0,1}
@ATTRIBUTE P127 {0,1}
@ATTRIBUTE P131 {0,1}
@ATTRIBUTE P136 {0,1}
@ATTRIBUTE P1376 {0,1}
@ATTRIBUTE P1391 {0,1}
@ATTRIBUTE P1435 {0,1}
@ATTRIBUTE P1476 {0,1}
@ATTRIBUTE P149 {0,1}
@ATTRIBUTE P1566 {0,1}
@ATTRIBUTE P159 {0,1}
@ATTRIBUTE P16 {0,1}
@ATTRIBUTE P1641 {0,1}
@ATTRIBUTE P17 {0,1}
@ATTRIBUTE P170 {0,1}
@ATTRIBUTE P175 {0,1}
@ATTRIBUTE P176 {0,1}
@ATTRIBUTE P1772 {0,1}
@ATTRIBUTE P178 {0,1}
@ATTRIBUTE P179 {0,1}
@ATTRIBUTE P186 {0,1}
@ATTRIBUTE P2257 {0,1}
@ATTRIBUTE P2348 {0,1}
@ATTRIBUTE P2370 {0,1}
@ATTRIBUTE P2386 {0,1}
@ATTRIBUTE P2442 {0,1}
@ATTRIBUTE P2534 {0,1}
@ATTRIBUTE P274 {0,1}
@ATTRIBUTE P276 {0,1}
@ATTRIBUTE P277 {0,1}
@ATTRIBUTE P30 {0,1}
@ATTRIBUTE P306 {0,1}
@ATTRIBUTE P36 {0,1}
@ATTRIBUTE P3912 {0,1}
@ATTRIBUTE P408 {0,1}
@ATTRIBUTE P452 {0,1}
@ATTRIBUTE P488 {0,1}
@ATTRIBUTE P50 {0,1}
@ATTRIBUTE P57 {0,1}
@ATTRIBUTE P571 {0,1}
@ATTRIBUTE P580 {0,1}
@ATTRIBUTE P582 {0,1}
@ATTRIBUTE P585 {0,1}
@ATTRIBUTE P625 {0,1}
@ATTRIBUTE P84 {0,1}
@ATTRIBUTE P86 {0,1}
@ATTRIBUTE P961 {0,1}
@ATTRIBUTE P98 {0,1}
@ATTRIBUTE P21_Q6581072 {0,1}
@ATTRIBUTE P21_Q6581097 {0,1}
@ATTRIBUTE P279_Q11016 {0,1}
@ATTRIBUTE P279_Q1151067 {0,1}
@ATTRIBUTE P279_Q174211 {0,1}
@ATTRIBUTE P279_Q17737 {0,1}
@ATTRIBUTE P279_Q178885 {0,1}
@ATTRIBUTE P279_Q179792 {0,1}
@ATTRIBUTE P279_Q18602249 {0,1}
@ATTRIBUTE P279_Q186081 {0,1}
@ATTRIBUTE P279_Q21143058 {0,1}
@ATTRIBUTE P279_Q2537 {0,1}
@ATTRIBUTE P279_Q2635077 {0,1}
@ATTRIBUTE P279_Q3114762 {0,1}
@ATTRIBUTE P279_Q318 {0,1}
@ATTRIBUTE P279_Q3395171 {0,1}
@ATTRIBUTE P279_Q3918 {0,1}
@ATTRIBUTE P279_Q391414 {0,1}
@ATTRIBUTE P279_Q4164871 {0,1}
@ATTRIBUTE P279_Q41825 {0,1}
@ATTRIBUTE P279_Q42889 {0,1}
@ATTRIBUTE P279_Q47574 {0,1}
@ATTRIBUTE P279_Q618779 {0,1}
@ATTRIBUTE P279_Q622852 {0,1}
@ATTRIBUTE P279_Q638 {0,1}
@ATTRIBUTE P279_Q640506 {0,1}
@ATTRIBUTE P279_Q6999 {0,1}
@ATTRIBUTE P279_Q729 {0,1}
@ATTRIBUTE P279_Q819073 {0,1}
@ATTRIBUTE P279_Q828748 {0,1}
@ATTRIBUTE P279_Q8386 {0,1}
@ATTRIBUTE P279_Q9174 {0,1}
@ATTRIBUTE P31_Q1002697 {0,1}
@ATTRIBUTE P31_Q101244 {0,1}
@ATTRIBUTE P31_Q101352 {0,1}
@ATTRIBUTE P31_Q11032 {0,1}
@ATTRIBUTE P31_Q1110794 {0,1}
@ATTRIBUTE P31_Q1114461 {0,1}
@ATTRIBUTE P31_Q11173 {0,1}
@ATTRIBUTE P31_Q11344 {0,1}
@ATTRIBUTE P31_Q11424 {0,1}
@ATTRIBUTE P31_Q11446 {0,1}
@ATTRIBUTE P31_Q11488158 {0,1}
@ATTRIBUTE P31_Q11862829 {0,1}
@ATTRIBUTE P31_Q1187811 {0,1}
@ATTRIBUTE P31_Q1194951 {0,1}
@ATTRIBUTE P31_Q1197685 {0,1}
@ATTRIBUTE P31_Q12308941 {0,1}
@ATTRIBUTE P31_Q1248784 {0,1}
@ATTRIBUTE P31_Q215380 {0,1}
@ATTRIBUTE P31_Q1254874 {0,1}
@ATTRIBUTE P31_Q2188189 {0,1}
@ATTRIBUTE P31_Q1288568 {0,1}
@ATTRIBUTE P31_Q1302471 {0,1}
@ATTRIBUTE P31_Q131569 {0,1}
@ATTRIBUTE P31_Q13406554 {0,1}
@ATTRIBUTE P31_Q138796 {0,1}
@ATTRIBUTE P31_Q14795564 {0,1}
@ATTRIBUTE P31_Q14934048 {0,1}
@ATTRIBUTE P31_Q151885 {0,1}
@ATTRIBUTE P31_Q152081 {0,1}
@ATTRIBUTE P31_Q15265344 {0,1}
@ATTRIBUTE P31_Q1549591 {0,1}
@ATTRIBUTE P31_Q15632617 {0,1}
@ATTRIBUTE P31_Q15911314 {0,1}
@ATTRIBUTE P31_Q159535 {0,1}
@ATTRIBUTE P31_Q1616075 {0,1}
@ATTRIBUTE P31_Q16521 {0,1}
@ATTRIBUTE P31_Q16970 {0,1}
@ATTRIBUTE P31_Q17127659 {0,1}
@ATTRIBUTE P31_Q17149090 {0,1}
@ATTRIBUTE P31_Q17444909 {0,1}
@ATTRIBUTE P31_Q174782 {0,1}
@ATTRIBUTE P31_Q17522177 {0,1}
@ATTRIBUTE P31_Q176799 {0,1}
@ATTRIBUTE P31_Q17737 {0,1}
@ATTRIBUTE P31_Q1777138 {0,1}
@ATTRIBUTE P31_Q178561 {0,1}
@ATTRIBUTE P31_Q1790144 {0,1}
@ATTRIBUTE P31_Q190 {0,1}
@ATTRIBUTE P31_Q192078 {0,1}
@ATTRIBUTE P31_Q192283 {0,1}
@ATTRIBUTE P31_Q198 {0,1}
@ATTRIBUTE P31_Q19828 {0,1}
@ATTRIBUTE P31_Q19967801 {0,1}
@ATTRIBUTE P31_Q2001305 {0,1}
@ATTRIBUTE P31_Q20437094 {0,1}
@ATTRIBUTE P31_Q207320 {0,1}
@ATTRIBUTE P31_Q2199 {0,1}
@ATTRIBUTE P31_Q223371 {0,1}
@ATTRIBUTE P31_Q2235308 {0,1}
@ATTRIBUTE P31_Q2264924 {0,1}
@ATTRIBUTE P31_Q22687 {0,1}
@ATTRIBUTE P31_Q22865 {0,1}
@ATTRIBUTE P31_Q23038290 {0,1}
@ATTRIBUTE P31_Q231002 {0,1}
@ATTRIBUTE P31_Q23442 {0,1}
@ATTRIBUTE P31_Q235729 {0,1}
@ATTRIBUTE P31_Q23691 {0,1}
@ATTRIBUTE P31_Q24384 {0,1}
@ATTRIBUTE P31_Q245065 {0,1}
@ATTRIBUTE P31_Q25295 {0,1}
@ATTRIBUTE P31_Q253019 {0,1}
@ATTRIBUTE P31_Q27020041 {0,1}
@ATTRIBUTE P31_Q2738074 {0,1}
@ATTRIBUTE P31_Q3024240 {0,1}
@ATTRIBUTE P31_Q31855 {0,1}
@ATTRIBUTE P31_Q3220391 {0,1}
@ATTRIBUTE P31_Q3254959 {0,1}
@ATTRIBUTE P31_Q327333 {0,1}
@ATTRIBUTE P31_Q33384 {0,1}
@ATTRIBUTE P31_Q33506 {0,1}
@ATTRIBUTE P31_Q33742 {0,1}
@ATTRIBUTE P31_Q34770 {0,1}
@ATTRIBUTE P31_Q35127 {0,1}
@ATTRIBUTE P31_Q37726 {0,1}
@ATTRIBUTE P31_Q378427 {0,1}
@ATTRIBUTE P31_Q3863 {0,1}
@ATTRIBUTE P31_Q3918 {0,1}
@ATTRIBUTE P31_Q39367 {0,1}
@ATTRIBUTE P31_Q3957 {0,1}
@ATTRIBUTE P31_Q39911 {0,1}
@ATTRIBUTE P31_Q4022 {0,1}
@ATTRIBUTE P31_Q40231 {0,1}
@ATTRIBUTE P31_Q4120211 {0,1}
@ATTRIBUTE P31_Q41298 {0,1}
@ATTRIBUTE P31_Q4164871 {0,1}
@ATTRIBUTE P31_Q4167410 {0,1}
@ATTRIBUTE P31_Q41710 {0,1}
@ATTRIBUTE P31_Q41719 {0,1}
@ATTRIBUTE P31_Q41825 {0,1}
@ATTRIBUTE P31_Q4204501 {0,1}
@ATTRIBUTE P31_Q43229 {0,1}
@ATTRIBUTE P31_Q4392985 {0,1}
@ATTRIBUTE P31_Q45762 {0,1}
@ATTRIBUTE P31_Q47018901 {0,1}
@ATTRIBUTE P31_Q476028 {0,1}
@ATTRIBUTE P31_Q4830453 {0,1}
@ATTRIBUTE P31_Q484652 {0,1}
@ATTRIBUTE P31_Q486972 {0,1}
@ATTRIBUTE P31_Q49773 {0,1}
@ATTRIBUTE P31_Q5 {0,1}
@ATTRIBUTE P31_Q500834 {0,1}
@ATTRIBUTE P31_Q5107 {0,1}
@ATTRIBUTE P31_Q5119 {0,1}
@ATTRIBUTE P31_Q515 {0,1}
@ATTRIBUTE P31_Q5151 {0,1}
@ATTRIBUTE P31_Q532 {0,1}
@ATTRIBUTE P31_Q5398426 {0,1}
@ATTRIBUTE P31_Q55488 {0,1}
@ATTRIBUTE P31_Q571 {0,1}
@ATTRIBUTE P31_Q577 {0,1}
@ATTRIBUTE P31_Q618779 {0,1}
@ATTRIBUTE P31_Q6256 {0,1}
@ATTRIBUTE P31_Q6266 {0,1}
@ATTRIBUTE P31_Q634 {0,1}
@ATTRIBUTE P31_Q644371 {0,1}
@ATTRIBUTE P31_Q6979593 {0,1}
@ATTRIBUTE P31_Q7187 {0,1}
@ATTRIBUTE P31_Q7210356 {0,1}
@ATTRIBUTE P31_Q7257 {0,1}
@ATTRIBUTE P31_Q7278 {0,1}
@ATTRIBUTE P31_Q7366 {0,1}
@ATTRIBUTE P31_Q748720 {0,1}
@ATTRIBUTE P31_Q772547 {0,1}
@ATTRIBUTE P31_Q8054 {0,1}
@ATTRIBUTE P31_Q811979 {0,1}
@ATTRIBUTE P31_Q82794 {0,1}
@ATTRIBUTE P31_Q847017 {0,1}
@ATTRIBUTE P31_Q8502 {0,1}
@ATTRIBUTE P31_Q875538 {0,1}
@ATTRIBUTE P31_Q9143 {0,1}
@ATTRIBUTE P31_Q9430 {0,1}
@ATTRIBUTE P361_Q170314 {0,1}
@ATTRIBUTE P361_Q30250598 {0,1}
@ATTRIBUTE P361_Q544 {0,1}
@ATTRIBUTE P361_Q54837 {0,1}

@ATTRIBUTE class {ANIMAL,ARTIFACT,BUSINESS,CREATION,EVENT,INSTALLATION,LOCATION,ORGANISATION,OTHER,PERSON,SUBSTANCE}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EVENT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PERSON
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOCATION
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SUBSTANCE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOCATION
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARTIFACT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER
