WikidataID,LabelWikidata,Class
Q14966244,,OTHER
Q6739044,,
Q34166026,,OTHER
Q16664826,,PERSON
Q6798947,Mazraeh-ye Sheikh Abu Al Hasan,OTHER
Q32165856,,LOCATION
Q12167346,,PERSON
Q18323227,,OTHER
Q25025139,1887 in Wyoming Territory,OTHER
Q33999880,,OTHER
Q19145003,,OTHER
Q25550218,,OTHER
Q27361201,,
Q3057471,Eurema smilax,ANIMAL
Q21093716,,OTHER
Q8873872,Trujillo Alto; Puerto Rico,OTHER
Q18652930,,OTHER
Q21291879,Dutch monthly magazines,OTHER
Q15333571,Hellenic Open University faculty,OTHER
Q25629611,,
Q24483416,,OTHER
Q19289097,,EVENT
Q5421921,Extensible Embeddable Language,OTHER
Q32511687,,OTHER
Q31398886,,
Q11424916,,OTHER
Q28028055,,ANIMAL
Q4965389,Brian Stephney,PERSON
Q9695706,,
Q29585802,,OTHER
Q28837108,,OTHER
Q16530096,,
Q22353688,,LOCATION
Q21666074,,
Q19421050,,EVENT
Q28222966,,OTHER
Q31108225,,OTHER
Q27290878,,LOCATION
Q14439356,,
Q21640745,,LOCATION
Q1827454,Jełmuń,LOCATION
Q6800129,McCalmont Township; Jefferson County; Pennsylvania,OTHER
Q12201170,,OTHER
Q5244220,De Alvear,OTHER
Q24582919,,OTHER
Q27028205,,OTHER
Q1079396,,PERSON
Q13394107,Argyroploce percnochlaena,ANIMAL
Q21142329,,OTHER
Q31796634,,OTHER
Q3445694,Roxanne McKee,PERSON
Q29205287,,OTHER
Q8370141,Churches in Newfoundland and Labrador,OTHER
Q2276742,Spike (Buffy the Vampire Slayer),PERSON
Q24930522,,OTHER
Q11910172,,OTHER
Q3825552,,OTHER
Q906151,Kawa no Nagare no Yō ni,CREATION
Q10730255,,OTHER
Q6769608,Mark Schaeffer,PERSON
Q17484731,,OTHER
Q23328722,,OTHER
Q29494897,,OTHER
Q11260696,2008 İstanbul Cup – Singles,OTHER
Q7032280,Nigel Callaghan,PERSON
Q22734569,Invalid id or excluded via caching,OTHER
Q3858562,2010–11 Minnesota Timberwolves season,OTHER
Q8955702,,
Q9282125,Grzegorz Szerszenowicz,PERSON
Q16482875,,EVENT
Q26032974,,OTHER
Q11019115,Invalid id or excluded via caching,OTHER
Q34933456,,LOCATION
Q4999812,Burning Annie,CREATION
Q9474907,,OTHER
Q27203923,,SUBSTANCE
Q32631615,,OTHER
Q23424171,,OTHER
Q12647441,,PERSON
Q14563339,,ANIMAL
Q20213219,,LOCATION
Q1251019,,OTHER
Q5043604,,
Q12664347,,OTHER
Q30654477,,OTHER
Q24156816,,
Q12854820,,
Q24583317,,OTHER
Q21510827,,OTHER
Q20214481,,LOCATION
Q20362463,Invalid id or excluded via caching,OTHER
Q5408190,Eugenia tecta,ANIMAL
Q825571,,PERSON
Q20966864,,
Q30637603,World Association of Wrestling,OTHER
Q18143968,,
Q8077184,Åraksbø,LOCATION
Q24667269,,
Q29381437,,EVENT
Q15021850,,OTHER
