** Classification with Random Forest of 100 trees **

Total of instances					:	 9922 
Number of instance trained			:	 7937 
Number of instance predicted		:	 1985 
Correctly classified instances		:	 1828 (92.091 %)
Incorrectly classified instances	:	 157 (7.909 %)
Out of Bag (OOB) error rate			:	 0.082
Specificity							:	 0.996
Average of accuracy					:	 0.993
Macro Average of Precision			:	 0.546
Micro Average of Precision			:	 0.921
Macro Average of Recall				:	 0.462
Micro Average of Recall				:	 0.921
Macro Average of FMeasure			:	 0.501
Micro Average of FMeasure			:	 0.921

** Confusion Matrix **
Row: Actual; Column: Predicted
Label of class:
{0:ACRONYM; 1:ANIMAL; 2:ARTIFACT; 3:AWARD; 4:BUSINESS; 5:CONCEPT; 6:CREATION; 7:EVENT; 8:INSTALLATION; 9:INSTITUTION; 10:LEGAL; 11:LOCATION; 12:MEASURE; 13:MEDIA; 14:ORGANISATION; 15:PERIOD; 16:PERSON; 17:PERSON_TYPE; 18:PLANT; 19:SPORT_TEAM; 20:SUBSTANCE; 21:TITLE; 22:WEBSITE; 23:OTHER}

Class:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
	0|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1|	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
	2|	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7
	3|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	4|	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
	5|	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
	6|	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
	7|	0	0	0	0	0	0	0	40	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	2
	8|	0	0	0	0	0	0	0	0	18	0	0	16	0	0	0	0	0	0	0	0	0	0	0	3
	9|	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
	10|	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	11|	0	0	0	0	0	0	0	0	1	0	0	687	0	0	0	0	0	0	0	0	0	0	0	26
	12|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	13|	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
	14|	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	8
	15|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	4
	16|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0
	17|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
	18|	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	19|	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	1
	20|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	4
	21|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	22|	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	2
	23|	0	0	0	0	0	0	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	0	374

** Validation for each class **

Class		:	0		1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23
Accuracy	:	1.00	1.00	1.00	1.00	1.00	0.99	1.00	0.99	0.99	1.00	1.00	0.96	1.00	1.00	0.99	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94
Precision	:	0.00	0.88	0.95	0.00	1.00	1.00	0.96	0.95	0.90	0.00	0.00	0.94	0.00	0.00	0.00	0.96	1.00	0.00	0.00	0.75	1.00	0.00	1.00	0.81
Recall		:	0.00	0.94	0.72	0.00	0.77	0.59	0.77	0.75	0.49	0.00	0.00	0.96	0.00	0.00	0.00	0.98	1.00	0.00	0.00	0.86	0.82	0.00	0.50	0.94
FMeasure	:	0.00	0.91	0.82	0.00	0.87	0.75	0.86	0.84	0.63	0.00	0.00	0.95	0.00	0.00	0.00	0.97	1.00	0.00	0.00	0.80	0.90	0.00	0.67	0.87
Specificity	:	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.97	1.00	1.00	1.00	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94

