Property,Value
P21,Q6581072
P21,Q6581097
P279,Q11016
P279,Q1151067
P279,Q174211
P279,Q17737
P279,Q178885
P279,Q179792
P279,Q18602249
P279,Q186081
P279,Q21143058
P279,Q2537
P279,Q2635077
P279,Q3114762
P279,Q318
P279,Q3395171
P279,Q3918
P279,Q391414
P279,Q4164871
P279,Q41825
P279,Q42889
P279,Q47574
P279,Q618779
P279,Q622852
P279,Q638
P279,Q640506
P279,Q6999
P279,Q729
P279,Q819073
P279,Q828748
P279,Q8386
P279,Q9174
P31,Q1002697
P31,Q101244
P31,Q101352
P31,Q11032
P31,Q1110794
P31,Q1114461
P31,Q11173
P31,Q11344
P31,Q11424
P31,Q11446
P31,Q11488158
P31,Q11862829
P31,Q1187811
P31,Q1194951
P31,Q1197685
P31,Q12308941
P31,Q1248784
P31,Q215380
P31,Q1254874
P31,Q2188189
P31,Q1288568
P31,Q1302471
P31,Q131569
P31,Q13406554
P31,Q138796
P31,Q14795564
P31,Q14934048
P31,Q151885
P31,Q152081
P31,Q15265344
P31,Q1549591
P31,Q15632617
P31,Q15911314
P31,Q159535
P31,Q1616075
P31,Q16521
P31,Q16970
P31,Q17127659
P31,Q17149090
P31,Q17444909
P31,Q174782
P31,Q17522177
P31,Q176799
P31,Q17737
P31,Q1777138
P31,Q178561
P31,Q1790144
P31,Q190
P31,Q192078
P31,Q192283
P31,Q198
P31,Q19828
P31,Q19967801
P31,Q2001305
P31,Q20437094
P31,Q207320
P31,Q2199
P31,Q223371
P31,Q2235308
P31,Q2264924
P31,Q22687
P31,Q22865
P31,Q23038290
P31,Q231002
P31,Q23442
P31,Q235729
P31,Q23691
P31,Q24384
P31,Q245065
P31,Q25295
P31,Q253019
P31,Q27020041
P31,Q2738074
P31,Q3024240
P31,Q31855
P31,Q3220391
P31,Q3254959
P31,Q327333
P31,Q33384
P31,Q33506
P31,Q33742
P31,Q34770
P31,Q35127
P31,Q37726
P31,Q378427
P31,Q3863
P31,Q3918
P31,Q39367
P31,Q3957
P31,Q39911
P31,Q4022
P31,Q40231
P31,Q4120211
P31,Q41298
P31,Q4164871
P31,Q4167410
P31,Q41710
P31,Q41719
P31,Q41825
P31,Q4204501
P31,Q43229
P31,Q4392985
P31,Q45762
P31,Q47018901
P31,Q476028
P31,Q4830453
P31,Q484652
P31,Q49773
P31,Q5
P31,Q500834
P31,Q5107
P31,Q5119
P31,Q515
P31,Q5151
P31,Q532
P31,Q5398426
P31,Q55488
P31,Q571
P31,Q577
P31,Q618779
P31,Q6256
P31,Q6266
P31,Q634
P31,Q644371
P31,Q6979593
P31,Q7210356
P31,Q7257
P31,Q7278
P31,Q7366
P31,Q748720
P31,Q772547
P31,Q811979
P31,Q82794
P31,Q847017
P31,Q8502
P31,Q875538
P31,Q9143
P31,Q9430
P361,Q170314
P361,Q30250598
P361,Q544
P361,Q54837
